"Synchronize","Synchronize"
"Synchronizing %1 to %2","Synchronizing %1 to %2"
"Synchronizing...","Synchronizing..."
"The timeout limit for response from synchronize process was reached.","The timeout limit for response from synchronize process was reached."
"File %1 does not exist","Datoteka %1 ne postoji"
"File %1 is not readable","Datoteka %1 is not readable"
"File System","Datoteka Sistem"
"Database","Baza podataka"
"database ""%1""","baza podataka ""%1"""
"Parent directory does not exist: %1","Parent directory ne postoji: %1"
"File system","Datoteka system"
"Unable to save file ""%1"" at ""%2""","Nije moguće sačuvati datoteku ""%1"" na ""%2"""
"Wrong file info format","Wrong file info format"
"Path ""%value%"" is protected and cannot be used.","Putanja ""%value%"" je zaštićena i ne može se koristiti."
"Path ""%value%"" is not available and cannot be used.","Putanja ""%value%"" nije dostupna i ne može se koristiti."
"Path ""%value%"" may not include parent directory traversal (""../"", "".."").","Putanja ""%value%"" ne sme uključivati prolazak kroz roditeljski direktorijum (""../"", "".."")."
"Please set available and/or protected paths list(s) before validation.","Please set available and/or protected paths list(s) before validation."
"File with an extension ""%value%"" is protected and cannot be uploaded","Datoteka sa ekstenzijom ""%value%"" je zaštićena i ne može se otpremiti"
"Unable to create directory: %1","Nije moguće create directory: %1"
"Unable to save file: %1","Nije moguće save file: %1"
"Storage Configuration for Media","Storage Konfiguracija for Media"
"Media Storage","Skladište Media sadržaja"
"Select Media Database","Izaberi Media Database"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location. Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Environment Ažuriraj Vreme"
"The ""%1"" file doesn't exist. Verify the file and try again.","Datoteka ""%1"" ne postoji. Proverite datoteku i pokušajte ponovo."
"Cannot resize image ""%1"" - original image not found","Ne može se promeniti veličina slike ""%1"" - originalna slika nije pronađena"
"Cannot resize images - product images not found","Ne može resize images - product images nije pronađeno"
