"Synchronize","Đồng bộ hóa"
"Synchronizing %1 to %2","Đồng bộ hóa %1 và %2"
"Synchronizing...","Đang đồng bộ hóa..."
"The timeout limit for response from synchronize process was reached.","Đã đạt tới giới hạn thời gian chờ cho sự đáp lại từ quá trình đồng bộ hóa."
"The ""%1"" file doesn't exist. Verify the file and try again.","The ""%1"" file doesn't exist. Verify the file and try again."
"File %1 is not readable","Tập tin %1 không thể đọc được"
"File System","Hệ thống tập tin"
"Database (Deprecated)","Database (Deprecated)"
"Sorry, something went wrong during image resize. Please see log for details.","Sorry, something went wrong during image resize. Please see log for details."
"database ""%1""","cơ sở dữ liệu ""%1"""
"Parent directory does not exist: %1","Thư mục mẹ không tồn tại: %1"
"File system","Hệ thống tập tin"
"Unable to save file ""%1"" at ""%2""","Không thể lưu các tập tin ""%1"" tại ""%2"""
"Wrong file info format","Định dạng thông tin sai"
"File validation failed.","File validation failed."
"Path ""%value%"" is protected and cannot be used.","Đường dẫn ""%value%"" được bảo vệ và không thể được sử dụng."
"Path ""%value%"" is not available and cannot be used.","Đường dẫn ""%value%"" là không có sẵn và không thể được sử dụng."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\").","Path ""%value%"" may not include parent directory traversal (""../"", ""..\")."
"Please set available and/or protected paths list(s) before validation.","Xin vui lòng thiết lập danh sách đường dẫn có sẵn và/hoặc được bảo vệ trước khi xác nhận."
"File with an extension ""%value%"" is protected and cannot be uploaded","Các tập tin với phần mở rộng ""%value%"" được bảo vệ và không thể được tải lên"
"Unable to create directory: %1","Không thể tạo thư mục: %1"
"Unable to save file: %1","Không thể lưu các tập tin: %1"
"Cannot resize image ""%1"" - original image not found","Cannot resize image ""%1"" - original image not found"
"Cannot resize images - product images not found","Cannot resize images - product images not found"
"Image resize: %1","Image resize: %1"
"Storage Configuration for Media","Lưu trữ cấu hình cho Phương tiện"
"Media Storage","Phương tiện lưu trữ"
"Select Media Database","Chọn cơ sở dữ liệu phương tiện"
"After selecting a new media storage location, press the Synchronize button to transfer all media to that location and then ""Save Config"". Media will not be available in the new location until the synchronization process is complete.","After selecting a new media storage location, press the Synchronize button to transfer all media to that location and then ""Save Config"". Media will not be available in the new location until the synchronization process is complete."
"Environment Update Time","Môi trường Cập Nhật thời gian"
