"To see product price, add this item to your cart. You can always remove it later.","За да видите цена на продукта, добавете този елемент към Вашата количка. Можете винаги да го премахнете по-късно."
"See price before order confirmation.","Вижте цената преди потвърждение на поръчката."
"On Gesture","На жест"
"In Cart","В количката"
"Before Order Confirmation","Потвърждение на поръчка"
"Use config","Използвай конфигурация"
"Click for price","Кликнете за цена"
"What's this?","Какво е това?"
"Order total will be displayed before you submit the order","Обща стойност на поръчката ще бъде показана преди да изпратите поръчката"
"You will see the order total before you submit the order.","Ще видите общата стойност преди да изпратите поръчката."
"Price","Цена"
"Actual Price","Актуална цена"
"Add to Cart","Добави в количка"
"Minimum Advertised Price","Минимална рекламна цена"
"Enable MAP","Разреши карта"
"Display Actual Price","Покажи актуалната цена"
"Default Popup Text Message","По подразбиране изкачащо текстово съобщение"
"Default ""What's This"" Text Message","По подразбиране е ""Какво е това"" текстово съобщение"
"<strong style=""color:red"">Warning!</strong> Enabling MAP by default will hide all product prices on Storefront.","<strong style=""color:red"">Внимание!</strong> Активирайки КАРТА по подразбиране ще скрие всички цени във Витрината."
