"Wishlist","Λίστα Επιθυμιών"
"Customer's Wish List Report","Εκτύπωση λίστας επιθυμιών του πελάτη"
"My Wish Lists","Οι Λίστες Επιθυμιών μου"
"1 item in wish list","1 αντικείμενο στη λίστα επιθυμιών"
"%1 items in wish list","%1 αντικείμενο(α) στη λίστα επιθυμιών"
"Wish List Search","Αναζήτηση Λίστας Επιθυμιών"
"Select Search Type","Επιλέξτε Τύπο Αναζήτησης"
"Reports","Αναφορές"
"Customers","Πελάτες"
"Customer Wish List Report","Αναφορά λίστας επιθυμιών του πελάτη"
"Wish list ""%1"" was saved.","Λίστα επιθυμιών ""%1"" αποθηκευτηκε."
"We can't create the wish list right now.","Αυτή τη στιγμή δεν μπορούμε να δημιουργούμε τη λίστα επιθυμιών."
"Page not found.","Η σελίδα δεν βρέθηκε."
"""%1"" was copied to %2.","""%1"" αντιγράφηκε στο %2."
"We can't find the item.","Δεν μπορούμε να βρούμε το στοιχείο."
"""%1"" is already present in %2.","«%1» υπάρχει ήδη σε %2."
"We can't copy ""%1"".","Δεν μπορούμε να αντιγράψουμε το ""%1""."
"We can't copy the wish list item.","Δεν μπορούμε να αντιγράψουμε το στοιχείο στη λίστα επιθυμιών."
"We can't find %1 items.","Δεν μπορούμε να βρούμε τα στοιχεία %1."
"We can't copy %1 items.","Δεν μπορούμε να αντιγράψουμε τα στοιχεία %1."
"%1 items are already present in %2: %3.","%1 στοιχεία είναι ήδη παρόντα στο %2: %3."
"%1 items were copied to %2: %3.","%1 στοιχεία αντιγράφηκαν στο %2: %3."
"You can't delete the default wish list.","Δεν μπορείτε να διαγράψετε την προεπιλεγμένη λίστα επιθυμιών."
"Wish List ""%1"" has been deleted.","Λίστα επιθυμιών ""%1"" έχει διαγραφεί."
"We can't delete the wish list right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε τη λίστα επιθυμιών."
"""%1"" was moved to %2.","«%1» μεταφέρθηκε στο %2."
"We can't find an item with this ID.","Δεν μπορούμε να βρούμε ένα αντικείμενο με αυτό το ID."
"We cannot move ""%1"".","Δεν μπορούμε να μετακινήσουμε το ""%1""."
"We can't move the wish list item.","Δεν είναι δυνατό να μετακινήσουμε το στοιχείο της λίστας επιθυμιών."
"%1 items cannot be moved: %2.","%1 στοιχεία δεν μπορούν να μετακινηθούν: %2."
"We can't move %1 items.","Δεν είναι δυνατό να μετακινήσουμε τα στοιχεία %1."
"%1 items were moved to %2: %3.","%1 στοιχεία μεταφέρθηκαν στα %2: %3."
"%1 for ""%2""","%1 για «%2»"
"We can't add the item to shopping cart.","Δεν είναι δυνατό να προσθέσουμε το στοιχείο στο καλάθι αγορών."
"We can't add the following product(s) to shopping cart: %1.","Δεν μπορούμε να προσθέσουμε τα παρακάτω προϊόντα στο καλάθι αγορών: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Προϊόν(τα) %1 έχουν απαιτούμενες επιλογές. Κάθε προϊόν μπορεί να προστεθεί μόνο ξεχωριστά."
"%1 product(s) have been added to shopping cart: %2.","έχουν προστεθεί %1 προϊόν(τα) στο καλάθι αγορών: %2."
"Please reenter your search options.","Παρακαλούμε να καταχωρήσετε ξανά τις επιλογές αναζήτησης."
"We could not perform the search.","Δεν μπορούμε να εκτελέσουμε την αναζήτηση."
