"Wishlist","Daftar Keinginan"
"Customer's Wish List Report","Laporan Daftar Keinginan Pelanggan Anda"
"My Wish Lists","Dafta Keinginan Saya"
"1 item in wish list","1 barang dalam daftar keinginan"
"%1 items in wish list","%1 barang dalam daftar keinginan"
"Wish List Search","Cari Daftar Keinginan"
"Select Search Type","Pilih Jenis Pencarian"
"Reports","Laporan"
"Customers","Pelanggan"
"Customer Wish List Report","Daftar Laporan Keinginanan Pelanggan Anda"
"Wish list ""%1"" was saved.","Daftar Keinginan ""%1"" telah disimpan."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Halaman tidak ditemukan."
"""%1"" was copied to %2.","""%1"" telah disalin %2."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" sudah hadir di %2."
"We can't copy ""%1"".","Kami tidak bisa menyalin ""%1""."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 barang sudah hadir di %2: %3."
"%1 items were copied to %2: %3.","%1 barang tersalin ke %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Daftar Keinginan ""%1"" dihapus."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" dipindahkan ke %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","Kami tidak bisa memindahkan ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 barang tidak bisa dipindahkan %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 barang dipindahkan ke %2: %3."
"%1 for ""%2""","%1 untuk ""%2"""
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produk(s) %1 memerlukan pilihan. Setiap produk dapat ditambahkan secara individual."
"%1 product(s) have been added to shopping cart: %2.","%1 product(s) have been added to shopping cart: %2."
"Please reenter your search options.","Silahkan tekan ulang pengaturan pencarian anda."
"We could not perform the search.","Kami tidak bisa melakukan pencarian."
"All Forms","Semua Bentuk"
"Owner Name","Nama Pemilik"
"Owner Email","Email Pemilik"
"%1's Wish List","%1's Wish List"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Silahkan masukkan alamat email yang valid."
"Please enter at least 2 letters of the first name.","Silahkan masukkan paling sedikit 2 huruf dari nama depan."
"Please enter at least 2 letters of the last name.","Silahkan masukkan paling sedikit 2 huruf dari nama belakang."
"Sign in to edit wish lists.","Masuk untuk mengedit daftar keinginan."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Lengkapi nama daftar keinginan."
"Wish list ""%1"" already exists.","Daftar keinginan ""%1"" sudah tersedia."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Uji Frase"
"Unknown Magento error","Tidak diketahui Kesalahan Magento"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Segarkan"
"All Wish Lists","Semua Daftar Keinginan"
"Item","Barang"
"Qty","Jumlah"
"Price","Harga"
"Remove","Menghapus"
"Add To Order","Tambahkan Ke Pesanan"
"Configure and Add to Order","Konfigurasi dan Tambahkan ke Pesanan"
"No items","Barang tidak tersedia"
"Delete Wish List","Hapus Daftar Keinginan"
"Owner","Pemilik"
"Name","Nama"
"Updated","Diperbarui"
"Wish List Items","Daftar Keinginan Barang"
"You must select items to add to the cart.","Anda harus memilih barang untuk ditambhkan ke keranjang."
"Add to Cart","Tambahkan ke Keranjang"
"Back","Kembali"
"Add to:","Tambahkan ke:"
"Create New Wish List","Buat Daftar Keinginan Baru"
"Move to Wish List","Pindah ke Daftar Keinginan"
"Copy to Wish List","Salin ke Daftar Keinginan"
"Search Options","Pengaturan Pencarian"
"Required Fields","Bidang yang Diperlukan"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"Search","Pencarian"
"Search Results","Hasil Pencarian"
"Wish List Name","Nama Daftar Keinginan"
"Actions","Tindakan"
"View","Lihat"
"Your search returned no results.","Pencarian kembali Anda tidak ada hasil."
"Wish List","Daftar Keinginan"
"Create Wish List","Buat Daftar Keinginan"
"Edit Wish List","Edit Daftar Keinginan"
"Edit","Ubah"
"Public Wish List","Daftar Keinginan Publik"
"Private Wish List","Daftar Keinginan Pribadi"
"Select all","Pilih Semua"
"Move Selected to Wish List","Memindahkan Pilihan ke Daftar Keinginan"
"Copy Selected to Wish List","Salin Pilihan ke Daftar Keinginan"
"Search By","Cari Dengan"
"Please enter at least two letters.","Silahkan masukkan setidaknya dua Huruf."
"Close","Tutup"
"Save","Simpan"
"Cancel","Batal"
"We can't create the Wish List right now.","Kami tidak dapat membuat Daftar Keinginan anda sekarang."
"Please select items to move.","Silahkan pilih barang Untuk Dipindahkan."
"Please select items to copy.","Silahkan pilih barang untuk menyalin."
"Are you sure you want to delete your wish list? This action can't be undone.","Are you sure you want to delete your wish list? This action can't be undone."
"Wish Lists","Daftar Keinginan"
"Enable Multiple Wish Lists","Aktifkan Beberapa Daftar Keinginan"
"Number of Multiple Wish Lists","Jumlah Beberapa Daftar Keinginan"
"The number of multiple wish lists should be equal to or more than 2.","The number of multiple wish lists should be equal to or more than 2."
"My Wish Lists Link","Link Daftar Keinginan Saya"
"Display Wish Lists Summary","Tampilkan Ringkasan Daftar Keinginan"
"Wish List Search Description","Cari Deskripsi Daftar Keinginan"
"Quick Search Form Types","Jenis Bentuk Pencarian Cepat"
"Template","Template"
"Wish List Search Template","Cari Template Daftar Keinginan"
"CSV","CSV"
"Excel XML","Excel XML"
"Added","Ditambahkan"
"Customer","Pelanggan"
"Status","Keadaan"
"Public","Publik"
"Private","Privasi"
"Product","Produk"
"SKU","SKU"
"Comment","Komentar"
"Wish List Quantity","Kuantitas Daftar Keinginan"
"Store Quantity","Kuantitas Toko"
"Surplus / Deficit","Kelebihan / Defisit"
"All Websites","Semua Situs"
"Product Info","Info Produk"
"Unit Price","Satuan Harga"
"Add to Wish List","Tambahkan ke Daftar Keinginan"
"Could not create a wish list.","Could not create a wish list."
"The default wish list can't be deleted.","The default wish list can't be deleted."
"Edit wish list","Edit wish list"
