"Wishlist","Kívánságlista"
"Customer's Wish List Report","Vásárlói kívánságlista jelentés"
"My Wish Lists","Kívánságlistám"
"1 item in wish list","1 termék a kívánságlistán"
"%1 items in wish list","%1 tétel a kívánságlistán"
"Wish List Search","Keresés a kívánságlistában"
"Select Search Type","Válassza ki a keresés típusát"
"Reports","Jelentések"
"Customers","Vásárlók"
"Customer Wish List Report","Vásárló kívánságlista jelentés"
"Wish list ""%1"" was saved.","%1 kívánságlista elmentve."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Az oldal nem található."
"""%1"" was copied to %2.","""%1"" átmásolva %2-be."
"We can't find the item.","We can't find the item."
"""%1"" is already present in %2.","""%1"" már megtalálható %2-ben."
"We can't copy ""%1"".","""%1""-et nem tudjuk másolni."
"We can't copy the wish list item.","We can't copy the wish list item."
"We can't find %1 items.","We can't find %1 items."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 tétel már szerepel %2-ben: %3."
"%1 items were copied to %2: %3.","%1 tétel átmásolva %2-be: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","A ""%1"" kívánságlista törölve."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" átmozgatva %2-be."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","""%1""-et nem tudjuk mozgatni."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 elem nem mozgatható: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 tétel átmozgatva %2-be: %3."
"%1 for ""%2""","%1-t %2-ért"
"We can't add the item to shopping cart.","We can't add the item to shopping cart."
"We can't add the following product(s) to shopping cart: %1.","We can't add the following product(s) to shopping cart: %1."
"Product(s) %1 have required options. Each product can only be added individually.","%1 termék(ek) beállítása szükséges. A termékek csak egyesével adhatók hozzá."
"%1 product(s) have been added to shopping cart: %2.","%1 termék bekerült a kosárba: %2."
"Please reenter your search options.","Kérjük, írja be újra a keresési feltételeket."
"We could not perform the search.","Nem tudtuk végrehajtani a keresést."
"All Forms","All Forms"
"Owner Name","Tulajdonos neve"
"Owner Email","Tulajdonos email címe"
"%1's Wish List","%1 kívánságlistája"
"%1's Wish List (%2)","%1 kívánságlistája (%2)"
"Please enter a valid email address.","Kérjük, adjon meg egy érvényes email címet."
"Please enter at least 2 letters of the first name.","Kérjük, legalább 2 betűt adjon meg az utónevéből."
"Please enter at least 2 letters of the last name.","Kérjük, legalább 2 betűt adjon meg a vezetéknevéből."
"Sign in to edit wish lists.","Jelentkezzen be kívánságlisták szerkesztéséhez."
