"Wishlist","Ønskeliste"
"Customer's Wish List Report","Kundenes ønskeliste Rapport"
"My Wish Lists","Mine ønskelister"
"1 item in wish list","1 element i ønskeliste"
"%1 items in wish list","%1 elementer i ønskeliste"
"Wish List Search","Ønskeliste søk"
"Select Search Type","Velg søketype"
"Reports","Rapporter"
"Customers","Kunder"
"Customer Wish List Report","Customer Wish List Report"
"Wish list ""%1"" was saved.","Wish list ""%1"" was saved."
"We can't create the wish list right now.","We can't create the wish list right now."
"Page not found.","Siden finnes ikke."
"""%1"" was copied to %2.","""%1"" ble kopiert til %2."
"We can't find the item.","Vi finner ikke elementet."
"""%1"" is already present in %2.","""%1"" is already present in %2."
"We can't copy ""%1"".","We can't copy ""%1""."
"We can't copy the wish list item.","Vi kan ikke kopiere ønskeliste-elementet."
"We can't find %1 items.","Vi kan ikke finne %1 elementer."
"We can't copy %1 items.","We can't copy %1 items."
"%1 items are already present in %2: %3.","%1 items are already present in %2: %3."
"%1 items were copied to %2: %3.","%1 items were copied to %2: %3."
"You can't delete the default wish list.","You can't delete the default wish list."
"Wish List ""%1"" has been deleted.","Wish List ""%1"" has been deleted."
"We can't delete the wish list right now.","We can't delete the wish list right now."
"""%1"" was moved to %2.","""%1"" was moved to %2."
"We can't find an item with this ID.","We can't find an item with this ID."
"We cannot move ""%1"".","We cannot move ""%1""."
"We can't move the wish list item.","We can't move the wish list item."
"%1 items cannot be moved: %2.","%1 items cannot be moved: %2."
"We can't move %1 items.","We can't move %1 items."
"%1 items were moved to %2: %3.","%1 items were moved to %2: %3."
"%1 for ""%2""","%1 for ""%2"""
"We can't add the item to shopping cart.","Vi kanikke legge produkt til handlekurven."
"We can't add the following product(s) to shopping cart: %1.","Vi kan ikke legge følgende produkt(er) i handlekurven: %1."
"Product(s) %1 have required options. Each product can only be added individually.","Produkt(er) %1 har alternativer. Hvert produkt kan bare legges til enkeltvis."
"%1 product(s) have been added to shopping cart: %2.","%1 produkt(er) er lagt til handlekurven: %2."
"Please reenter your search options.","Please reenter your search options."
"We could not perform the search.","We could not perform the search."
"All Forms","All Forms"
"Owner Name","Owner Name"
"Owner Email","Owner Email"
"%1's Wish List","%1's ønskeliste"
"%1's Wish List (%2)","%1's Wish List (%2)"
"Please enter a valid email address.","Vennligst skriv inn en gyldig e-postadresse."
"Please enter at least 2 letters of the first name.","Please enter at least 2 letters of the first name."
"Please enter at least 2 letters of the last name.","Please enter at least 2 letters of the last name."
"Sign in to edit wish lists.","Logg på for å redigere ønskelister."
"The wish list is not assigned to your account and can't be edited.","The wish list is not assigned to your account and can't be edited."
"Provide the wish list name.","Provide the wish list name."
"Wish list ""%1"" already exists.","Wish list ""%1"" already exists."
"Only %1 wish list(s) can be created.","Only %1 wish list(s) can be created."
"Test Phrase","Testuttrykk"
"Unknown Magento error","Unknown Magento error"
"InvalidArgumentException","InvalidArgumentException"
"Refresh","Oppdater"
"All Wish Lists","All Wish Lists"
"Item","Produkt"
"Qty","Antall"
"Price","Pris"
"Remove","Fjern"
"Add To Order","Add To Order"
"Configure and Add to Order","Configure and Add to Order"
"No items","Ingen produkter"
"Delete Wish List","Delete Wish List"
"Owner","Owner"
"Name","Navn"
"Updated","Oppdatert"
"Wish List Items","Wish List Items"
"You must select items to add to the cart.","Du må velge produkter som skal legges i handlekurv."
"Add to Cart","Legg i handlekurv"
"Back","Tilbake"
"Add to:","Legge til:"
"Create New Wish List","Create New Wish List"
"Move to Wish List","Flytt til ønskeliste"
"Copy to Wish List","Kopier til ønskeliste"
"Search Options","Search Options"
"Required Fields","Required Fields"
"First Name","Fornavn"
"Last Name","Etternavn"
"Search","Søk"
"Search Results","Search Results"
"Wish List Name","Wish List Name"
"Actions","Handlinger"
"View","Visning"
"Your search returned no results.","Ditt søk returnerte ingen resultater."
"Wish List","Ønskeliste"
"Create Wish List","Create Wish List"
"Edit Wish List","Edit Wish List"
"Edit","Redigere"
"Public Wish List","Public Wish List"
"Private Wish List","Private Wish List"
"Select all","Velg alle"
"Move Selected to Wish List","Flytt valgte til ønskeliste"
"Copy Selected to Wish List","Kopier merkede til ønskeliste"
"Search By","Søk etter"
"Please enter at least two letters.","Please enter at least two letters."
"Close","Lukk"
"Save","Lagre"
"Cancel","Avbryt"
"We can't create the Wish List right now.","We can't create the Wish List right now."
"Please select items to move.","Velg elementer å flytte."
"Please select items to copy.","Please select items to copy."
