"Change Billing Address","Muuda arveldusaadressi"
"Ship to Multiple Addresses","Saada mitmele aadressile"
"Billing Information - %1","Arveldusandmed - %1"
"Review Order - %1","Review Order - %1"
"Total","Kokku"
"Total for this address","Total for this address"
"Shipping Methods","Tarneviisid"
"Edit Address","Muuda aadressi"
"Edit Billing Address","Edit Billing Address"
"Edit Shipping Address","Muuda tarneaadressi"
"Create Billing Address","Lisa arveldusaadress"
"Create Shipping Address","Lisa tarneaadress"
"Data saving problem","Data saving problem"
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Order place error","Order place error"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select shipping methods for all addresses.","Please select shipping methods for all addresses."
"A payment method is not defined.","A payment method is not defined."
"The requested payment method is not available for multishipping.","The requested payment method is not available for multishipping."
"Item not found or already ordered","Item not found or already ordered"
"Please specify a payment method.","Please specify a payment method."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Select Addresses"
"Shipping Information","Tarneteave"
"Billing Information","Arveldusandmed"
"Place Order","Esita tellimus"
"Order Success","Order Success"
"Order Results","Order Results"
"Default Billing","Vaikimisi arveldus"
"Default Shipping","Vaikimisi tarne"
"Select Address","Select Address"
"Add New Address","Lisa uus aadress"
"Back to Billing Information","Tagasi arveldusandmetesse"
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
"Product","Toode"
"Qty","Kogus"
"Send To","Send To"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"Actions","Toimingud"
"Remove Item","Eemalda toode"
"Remove item","Eemalda toode"
"Go to Shipping Information","Go to Shipping Information"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Sisesta uus aadress"
"Back to Shopping Cart","Tagasi ostukorvi"
"Loading...","Loading..."
"Billing Address","Arveldusaadress"
"Change","Vaheta"
"Payment Method","Makseviis"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Tagasi tarneandmetesse"
"Other items in your order","Other items in your order"
"Edit Items","Muuda kirjeid"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Toote nimi"
"Check Out with Multiple Addresses","Esita tellimus mitme aadressiga"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Shipping To"
"Shipping Method","Tarneviis"
"Incl. Tax","Koos maksuga"
"Excl. Tax","Ilma maksuta"
"Order Review","Telli ülevaade"
"Item","Toode/Artikkel"
"Edit","Muuda"
"Price","Hind"
"Subtotal","Vahesumma"
"Items","Toodet"
"Grand Total:","Kõik kokku:"
"Submitting order information...","Submitting order information..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
