"Change Billing Address","Muuta laskutusosoite"
"Ship to Multiple Addresses","Toimitus useampaan osoitteeseen"
"Billing Information - %1","Laskutustiedot - %1"
"Review Order - %1","Tarkista tilaus - %1"
"Total","Yhteensä"
"Total for this address","Total for this address"
"Shipping Methods","Toimitustavat"
"Edit Address","Muokkaa osoitetta"
"Edit Billing Address","Muokkaa laskutusosoitetta"
"Edit Shipping Address","Muokkaa toimitusosoitetta"
"Create Billing Address","Luo laskutusosoite"
"Create Shipping Address","Luo toimitusosoite"
"Data saving problem","Data saving problem"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Maximum qty allowed for Shipping to multiple addresses is %1","Maximum qty allowed for Shipping to multiple addresses is %1"
"We cannot open the overview page.","We cannot open the overview page."
"Please agree to all Terms and Conditions before placing the order.","Kaikki ehdot tulee hyväksyä ennen tilauksen tekemistä."
"Order place error","Order place error"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
"Quote address for failed order ID ""%1"" not found.","Quote address for failed order ID ""%1"" not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Valitse osoitteet"
"Shipping Information","Toimitustiedot"
"Billing Information","Laskutustiedot"
"Place Order","Tee tilaus"
"Order Success","Tilaus onnistui"
"Order Results","Order Results"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Select Address","Valitse osoite"
"Add New Address","Lisää uusi osoite"
"Back to Billing Information","Takaisin laskutustietoihin"
"Please select a shipping address for applicable items.","Please select a shipping address for applicable items."
"Product","Tuote"
"Qty","Määrä"
"Send To","Send To"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"Actions","Toiminnot"
"Remove Item","Poista kohde"
"Remove item","Poista kohde"
"Go to Shipping Information","Tarkastele toimitustietoja"
"Update Qty &amp; Addresses","Päivitä määrä ja osoitteet"
"Enter a New Address","Kirjoita uusi osoite"
"Back to Shopping Cart","Takaisin ostoskoriin"
"Loading...","Ladataan..."
"Billing Address","Laskutusosoite"
"Change","Vaihda"
"Payment Method","Maksutapa"
"Go to Review Your Order","Go to Review Your Order"
"Back to Shipping Information","Takaisin toimitustietoihin"
"Other items in your order","Other items in your order"
"Edit Items","Muokkaa tuotteita"
"Shipping is not applicable.","Shipping is not applicable."
"Product Name","Tuotenimi"
"Check Out with Multiple Addresses","Siirry kassalle käyttäen useita toimitusosoitteita"
"Please see","Please see"
"details below","details below"
"Address","Osoite"
"of","of"
"Shipping To","Shipping To"
"Shipping Method","Toimitustapa"
"Incl. Tax","Verollinen"
"Excl. Tax","Veroton"
"Order Review","Tilauksen katselma"
"Item","Tuote"
"Edit","Muokkaa"
"Price","Hinta"
"Subtotal","Välisumma"
"Items","Tuotteet"
"Grand Total:","Loppusumma:"
"Submitting order information...","Lähetetään tilauksen tietoja..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"Ship to:","Toimitusosoite:"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Error:","Virhe:"
"Address %1 <span>of %2</span>","Address %1 <span>of %2</span>"
"Sorry, no quotes are available for this order right now.","Valitettavasti toimituskuluja ei voida laskea tälle tilaukselle toistaiseksi."
"Continue to Billing Information","Jatka laskutustietoihin"
"Back to Select Addresses","Back to Select Addresses"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Jatka ostoksia"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Valitse maksutapa."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Asetukset"
"Allow Shipping to Multiple Addresses","Salli toimitus useaan osoitteeseen"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Tarkastele tilausta"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Valitse toimitustapa"
"Thank you for your purchase!","Kiitos ostoksestasi!"
