"Change Billing Address","Zmień adres rozliczeniowy"
"Ship to Multiple Addresses","Dostawa pod wiele adresów"
"Billing Information - %1","Informacje o płatności - %1"
"Review Order - %1","Podgląd zamówienia - %1"
"Total","Łącznie"
"Total for this address","Łącznie dla tego adresu"
"Shipping Methods","Metody dostawy"
"Edit Address","Edytuj adres"
"Edit Billing Address","Zmień adres rozliczeniowy"
"Edit Shipping Address","Zmień adres dostawy"
"Create Billing Address","Utwórz adres rozliczeniowy"
"Create Shipping Address","Utwórz adres dostawy"
"Data saving problem","Problem podczas zapisywania danych"
"We cannot open the overview page.","Nie można otworzyć strony przeglądu."
"Please agree to all Terms and Conditions before placing the order.","Musisz zgodzić się z ogólnymi warunkami składania zamówienia zanim złożysz zamówienie."
"Order place error","Błąd składania zamówienia"
"Maximum qty allowed for Shipping to multiple addresses is %1","Maksymalna ilość produktów, którą można dostarczyć do różnych adresów to %1"
"Please check shipping address information.","Prosimy sprawdzić adres dostawy."
"Please check billing address information.","Prosimy sprawdzić adres rozliczeniowy."
"Please select shipping methods for all addresses.","Wybierz metody wysyłki dla wszystkich adresów."
"A payment method is not defined.","Metoda płatności nie została wybrana."
"The requested payment method is not available for multishipping.","Określona metoda płatności nie jest dostępna w przypadku wysyłki do kilku lokalizacji."
"Item not found or already ordered","Produkt nie został znaleziony lub jest już zamówieony"
"Please specify a payment method.","Prosimy o wybór metody płatności."
"Please check shipping addresses information.","Prosimy sprawdzić adres dostawy."
"Please specify shipping methods for all addresses.","Prosimy wybrać metody wysyłki dla wszystkich adresów."
"Some addresses cannot be used due to country-specific configurations.","Some addresses cannot be used due to country-specific configurations."
"Quote address for failed order not found.","Quote address for failed order not found."
"Exception for failed order not found.","Exception for failed order not found."
"Select Addresses","Wybierz adresy"
"Shipping Information","Informacje o dostawie"
"Billing Information","Informacje rozliczeniowe"
"Place Order","Złóż zamówienie"
"Order Success","Zamówienie zostało przyjęte"
"Order Results","Order Results"
"Default Billing","Domyślne rozliczenie"
"Default Shipping","Domyślna dostawa"
"Select Address","Wybierz adres"
"Add New Address","Dodaj nowy adres"
"Back to Billing Information","Wróć do informacji o płatności"
"Please select a shipping address for applicable items.","Wybierz adres dostawy dla odpowiednich produktów."
"Product","Produkt"
"Qty","Ilość"
"Send To","Wyślij do"
"A shipping selection is not applicable.","Wybór dostawy jest niedostępny."
"Actions","Operacje"
"Remove Item","Usuń produkt"
"Remove item","Usuń produkt"
"Go to Shipping Information","Przejdź do informacji o wysyłce"
"Update Qty &amp; Addresses","Aktualizuj ilość i adresy"
"Enter a New Address","Dodaj nowy adres"
"Back to Shopping Cart","Wróć do koszyka"
"Loading...","Ładuję..."
"Billing Address","Adres rozliczeniowy"
"Change","Zmień"
"Payment Method","Metoda płatności"
"Go to Review Your Order","Przejdź do przeglądu zamówienia"
"Back to Shipping Information","Wróć do informacji o dostawie"
"Other items in your order","Inne elementy zamówienia"
"Edit Items","Edytuj produkty"
"Shipping is not applicable.","Nie dotyczy wysyłki."
"Product Name","Nazwa produktu"
"Check Out with Multiple Addresses","Zamówienie na wiele adresów"
"Please see","Please see"
"details below","details below"
"Address","Adres"
"of","z"
"Shipping To","Dostawa do"
"Shipping Method","Metoda dostawy"
"Incl. Tax","Z podatkiem"
"Excl. Tax","Bez podatku"
"Order Review","Podgląd zamówienia"
"Item","Produkt"
"Edit","Edytuj"
"Price","Cena"
"Subtotal","Suma częściowa"
"Items","Pozycje"
"Grand Total:","Łącznie:"
"Submitting order information...","Przetwarzanie zamówienia..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Adres %1 <span>z %2</span>"
"Sorry, no quotes are available for this order right now.","Przepraszamy, żadne oferty nie są dostępne dla tego zamówienia w tym momencie."
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Back to Select Addresses","Wróć do wyboru adresów"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
