"Catalog Total Price (Excl. Tax)","Katalog totalpris (ekskl. mva)"
"Catalog Total Price (Incl. Tax)","Katalog totalpris (ekskl. mva)"
"Catalog Total Price","Katalogen totaltpris"
"Negotiated Discount","Forhandlet rabbat"
"Back","Tilbake"
"Print","Skriv ut"
"Save as Draft","Lagre som kladd"
"Decline","Avslå"
"Send","Send"
"This action cannot be performed because you have products requiring attention. You must resolve these issues before you can continue.","Denne handlingen kan ikke utføres fordi du har produkter som krever oppmerksomhet. Du må løse disse problemene før du kan fortsette."
"Cannot Perform the Requested Action","Kan ikke utføre den forespurte handlingen"
"%creator (for %customer)","%creator (for %customer)"
"Items Quoted","Elementer i kø"
"Subtotal (Incl. Tax)","Delsum (inkl. mva)"
"Subtotal (Excl. Tax)","Delsum (ekskl. mva)"
"Add to Quote by SKU","Legg til i tilbud av SKU"
"Add to Quote","Legg til tilbud"
"Cancel","Avbryt"
"Total Cost","Totale kostnader"
"Negotiated Price","Forhandlet pris"
"Shipping & Handling","Frakt & håndtering"
"Quote Subtotal (Incl. Tax)","Tilbud Delsum (inkl. mva)"
"Percentage Discount","Prosentrabatt"
"Amount Discount","Antall rabatt"
"Proposed Price","Foreslått pris"
"Quote Subtotal","Tilbud delsum"
"My Orders","Mine ordrer"
"My Quotes","Mine tilbud"
"created quote","opprettede tilbud"
"closed quote","stengt tilbud"
"updated quote","oppdaterte tilbud"
"Percentage Discount - %1%","Prosentrabatt - %1%"
"Amount Discount - %1","Beløpet rabatt - %1"
"Proposed Price - %1","Foreslått pris -%1"
"None","Ingen"
"Qty:","Antall:"
"Qty: ","Antall: "
" - deleted from catalog"," - slettet fra katalog"
"(Removed)","(Fjernet)"
"deleted","slettet"
"Renderer list for block ""%1"" is not defined","Renderer liste for blokk ""%1"" er ikke definert"
"This quote is currently locked for editing. It will become available once released by the Merchant.","Dette sitatet er foreløpig låst for redigering. Den vil bli tilgjengelig når den er utgitt av selgeren."
"Your quote has expired and the product prices have been updated as per the latest prices in your catalog. You can either re-submit the quote to seller for further negotiation or go to checkout.","Tilbud har opphørt og produktpriser er blitt oppdatert etter de nyeste prisene i katalogen. Du kan enten sende tilbudet til selger for videre forhandling eller gå til kassen."
"You are not an owner of this quote. You cannot edit it or take any actions on it.","Du er ikke eier av dette tilbudet. Du kan ikke redigere det eller utføre noen handlinger på det."
"Discount","Rabatt"
"Estimated Tax","Beregnet skatt"
"Quote Subtotal (Excl. Tax)","Tilbud Delsum (inkl. mva)"
"Quote Grand Total (Incl. Tax)","Tilbud Totalsum (inkl. mva)"
"Grand Total to Be Charged","Totalsum som skal belastes"
"Requested quote was not found","Finner ikke forespurt tilbud"
"Sales","Salg"
"Quotes","Tilbud"
"Something went wrong. Please try again later.","Noe gikk galt. Prøv på nytt senere."
"Something went wrong","Noe gikk galt"
"Something went wrong during quote declining","Something went wrong during quote declining"
"Attachment not found.","Attachment not found."
"Quote #%1","Quote #%1"
"Exception occurred during quote print: %1","Exception occurred during quote print: %1"
"Exception occurred during update quote","Exception occurred during update quote"
"Exception occurred during quote saving","Exception occurred during quote saving"
"The changes have been saved.","The changes have been saved."
"The quote has been sent to the buyer.","The quote has been sent to the buyer."
"Exception occurred during quote sending","Exception occurred during quote sending"
"Exception occurred during quote view %1","Exception occurred during quote view %1"
"Requested quote was not found.","Requested quote was not found."
"An error occurred on the server. %1","An error occurred on the server. %1"
"This quote is currently locked for editing. It will become available once released by the buyer.","This quote is currently locked for editing. It will become available once released by the buyer."
"Page not found.","Siden finnes ikke."
"An error occurred while quote creation.","An error occurred while quote creation."
"%1 products require your attention. Please contact the Seller if you have any questions.","%1 products require your attention. Please contact the Seller if you have any questions."
"You closed the quote.","You closed the quote."
"We can't close the quote right now because of an error: %1.","We can't close the quote right now because of an error: %1."
"We can't close the quote right now.","We can't close the quote right now."
"An error occurred while creating quote.","An error occurred while creating quote."
"Quote with ID %1 was successfully created.","Quote with ID %1 was successfully created."
"The quote could not be created. Please try again later.","The quote could not be created. Please try again later."
"You have deleted the quote.","You have deleted the quote."
"We can't delete the quote right now.","We can't delete the quote right now."
"You've removed the item from quote.","You've removed the item from quote."
"We can't delete the quote item right now.","We can't delete the quote item right now."
"You have updated the items in the quote.","You have updated the items in the quote."
"We can't update the items right now.","We can't update the items right now."
"We can't order the quote right now because of an error: %1.","We can't order the quote right now because of an error: %1."
"We can't order the quote right now.","We can't order the quote right now."
"Quote","Quote"
"This quote will be charged in %1. The prices are given in %2 as reference only.","This quote will be charged in %1. The prices are given in %2 as reference only."
"We can't send the quote right now because of an error: %1.","We can't send the quote right now because of an error: %1."
"We can't send the quote right now.","We can't send the quote right now."
"Cannot obtain the requested data. You must fix the errors listed below first.","Cannot obtain the requested data. You must fix the errors listed below first."
"Requested attachment is not found. Row ID: %fieldName = %fieldValue","Requested attachment is not found. Row ID: %fieldName = %fieldValue"
"Requested quote is not found. Row ID: %fieldName = %fieldValue","Requested quote is not found. Row ID: %fieldName = %fieldValue"
