"Delete Selected Problems","Удалить выбранные проблемы"
"Unsubscribe Selected","Unsubscribe Selected"
"Back","Назад"
"Reset","Сбросить"
"Preview Template","Preview Template"
"Save Newsletter","Save Newsletter"
"Save and Resume","Save and Resume"
"View Newsletter","View Newsletter"
"Edit Newsletter","Edit Newsletter"
"Queue Information","Queue Information"
"Queue Date Start","Queue Date Start"
"Subscribers From","Subscribers From"
"Subject","Тема"
"Sender Name","Имя отправителя"
"Sender Email","Электронная почта отправителя"
"Message","Сообщение"
"Newsletter Styles","Newsletter Styles"
"Start","Старт"
"Pause","Пауза"
"Do you really want to cancel the queue?","Do you really want to cancel the queue?"
"Cancel","Отмена"
"Resume","Продолжить"
"Preview","Предварительный просмотр"
"Add New Template","Добавить новый шаблон"
"Newsletter Templates","Newsletter Templates"
"Convert to Plain Text","Convert to Plain Text"
"Return HTML Version","Return HTML Version"
"Delete Template","Удалить шаблон"
"Save As","Сохранить как"
"Save Template","Сохранить шаблон"
"Edit Newsletter Template","Edit Newsletter Template"
"New Newsletter Template","New Newsletter Template"
"Template Information","Информация о шаблоне"
"Template Name","Название Шаблона"
"Template Subject","Template Subject"
"Template Content","Содержание шаблона"
"Template Styles","Стили шаблона"
"No Templates Found","No Templates Found"
"ID","Идентификатор"
"Template","Шаблон"
"Added","Добавлено"
"Updated","Обновлено"
"Sender","Отправитель"
"Template Type","Тип Шаблона"
"Action","Действие"
"Queue Newsletter","Queue Newsletter"
"We unsubscribed the people you identified.","We unsubscribed the people you identified."
"The problems you identified have been deleted.","The problems you identified have been deleted."
"Newsletter Problems Report","Newsletter Problems Report"
"Newsletter Problem Reports","Newsletter Problem Reports"
"Newsletter Queue","Newsletter Queue"
"Edit Queue","Edit Queue"
"Please correct the newsletter template and try again.","Please correct the newsletter template and try again."
"You saved the newsletter queue.","You saved the newsletter queue."
"Newsletter Subscribers","Newsletter Subscribers"
"Newsletter","Новостная рассылка"
"Subscribers","Подписчики"
"Please select one or more subscribers.","Please select one or more subscribers."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"A total of %1 record(s) were updated.","В общей сложности обновлено %1 записи(ей)."
"The newsletter template has been deleted.","The newsletter template has been deleted."
"We can't delete this template right now.","We can't delete this template right now."
"Edit Template","Edit Template"
"New Template","Новый шаблон"
"Create Newsletter Template","Create Newsletter Template"
"The newsletter template has been saved.","The newsletter template has been saved."
"Something went wrong while saving this template.","Something went wrong while saving this template."
"Newsletter Subscription","Подписка на рассылку"
"Something went wrong while saving your subscription.","Something went wrong while saving your subscription."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Введите допустимый адрес электронной почты."
"This email address is already subscribed.","This email address is already subscribed."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Thank you for your subscription."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","You unsubscribed."
"Something went wrong while unsubscribing you.","Something went wrong while unsubscribing you."
"Sent","Отправлено"
"Cancelled","Отменено"
"Not Sent","Не отправлено"
"Sending","Отправка"
"Paused","Приостановлено"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Нет такого объекта с %fieldName = %fieldValue"
"Choose Store View:","Название витрины магазина:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Copy"
