"Make Check payable to:","Make Check payable to:"
"Send Check to:","Send Check to:"
"Purchase Order Number","Purchase Order Number"
"Make Check payable to: %1","Make Check payable to: %1"
"Purchase Order Number: %1","Purchase Order Number: %1"
"Make Check payable to","Make Check payable to"
"Send Check to","Send Check to"
"Place Order","주문하기"
"Check / Money Order","Check / Money Order"
"Enabled","활성화"
"New Order Status","새 주문 진행상태"
"Sort Order","정렬 순서"
"Title","타이틀"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Make Check Payable to","Make Check Payable to"
"Minimum Order Total","최소 주문 합계"
"Maximum Order Total","최대 주문 합계"
"Purchase Order","Purchase Order"
"Bank Transfer Payment","Bank Transfer Payment"
"Instructions","Instructions"
"Cash On Delivery Payment","Cash On Delivery Payment"
"Zero Subtotal Checkout","Zero Subtotal Checkout"
"Automatically Invoice All Items","Automatically Invoice All Items"
"Purchase order number is a required field.","Purchase order number is a required field."
