"Country","Země"
"Region/State","Kraj / region"
"Zip/Postal Code","PSČ"
"Shipping Price","Ceny dopravy"
"Export CSV","Export CSV"
"Store Pickup","Osobní odběr"
"Weight vs. Destination","Hmotnost vs. Místo doručení"
"Price vs. Destination","Cena vs. Místo doručení"
"# of Items vs. Destination","Množství vs. Místo doručení"
"Weight (and above)","Hmotnost (a vyšší)"
"Order Subtotal (and above)","Mezisoučet objednávky (a vyšší)"
"# of Items (and above)","Množství (a vyšší)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Nic"
"Per Order","Na objednávku"
"Per Item","Za položku"
"Unable to import data","Nelze importovat data"
"Something went wrong while importing table rates.","Při importu tabulky sazeb nastala chyba."
"We couldn't import this file because of these errors: %1","Tento soubor nelze importovat z důvodu chyby: %1"
"Requested column ""%1"" cannot be resolved","Nelze najít požadovaný sloupec ""%1"""
"Column ""%1"" not found","Sloupec ""%1"" nebyl nalezen"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Opravte %1 ""%2"" v řádku č. %3 prosím."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Duplicate Row #%1 (duplicates row #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Ne"
"For matching items only","Pouze na odpovídající položky"
"For shipment with matching items","Na přepravné s odpovídajícími položkami"
"Field ","Údaj "
" is required."," je povinný."
"Flat Rate","Paušální sazba"
"Enabled","Zapnuto"
"Method Name","Název metody"
"Price","Cena"
"Calculate Handling Fee","Výpočet balného"
"Handling Fee","Balné"
"Sort Order","Řadit podle"
"Title","Název"
"Type","Typ"
"Ship to Applicable Countries","Doručení do dostupných zemí"
"Ship to Specific Countries","Doručení do zvolených zemí"
"Show Method if Not Applicable","Zobrazit způsob, i když není použitelný"
"Displayed Error Message","Zobrazená chybová zpráva"
"Table Rates","Tabulka sazeb"
"Condition","Podmínky"
"Include Virtual Products in Price Calculation","Do kalkulace zahrnout virtuální produkty"
"Export","Export"
"Import","Import"
"Free Shipping","Doprava zdarma"
"Minimum Order Amount","Minimální výše objednávky"
"-- Please Select --","-- Vyberte --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
