"Country","Land"
"Region/State","Region/stat"
"Zip/Postal Code","Postnummer"
"Shipping Price","Leveringspris"
"Export CSV","Eksporter CSV"
"Store Pickup","Afhentning i butik"
"Weight vs. Destination","Vægt vs. destination"
"Price vs. Destination","Pris vs destination"
"# of Items vs. Destination","# Varer vs leveringssted"
"Weight (and above)","Vægt (og derover)"
"Order Subtotal (and above)","Ordre subtotal (og derover)"
"# of Items (and above)","# af varer (og derover)"
"Please correct Table Rate code type: %1.","Please correct Table Rate code type: %1."
"Please correct Table Rate code for type %1: %2.","Please correct Table Rate code for type %1: %2."
"None","Ingen"
"Per Order","Per ordre"
"Per Item","Per vare"
"Unable to import data","Kan ikke importere data"
"Something went wrong while importing table rates.","Noget gik galt under import af fragtmuligheder."
"We couldn't import this file because of these errors: %1","Vi kunne ikke importere denne fil på grund af disse fejl: %1"
"Requested column ""%1"" cannot be resolved","Ønskede kolonne ""%1"" kan ikke løses"
"Column ""%1"" not found","Kolonnen ""%1"" blev ikke fundet"
"Please correct Table Rates format in the Row #%1.","Please correct Table Rates format in the Row #%1."
"Please correct Country ""%1"" in the Row #%2.","Please correct Country ""%1"" in the Row #%2."
"Please correct Region/State ""%1"" in the Row #%2.","Please correct Region/State ""%1"" in the Row #%2."
"Please correct %1 ""%2"" in the Row #%3.","Ret venligst %1 ""%2"" i rækken #%3."
"Please correct Shipping Price ""%1"" in the Row #%2.","Please correct Shipping Price ""%1"" in the Row #%2."
"Duplicate Row #%1 (duplicates row #%2)","Dupliker række #%1 (dubletter række #%2)"
"Please correct Table Rates File Format.","Please correct Table Rates File Format."
"No","Nej"
"For matching items only","Kun for tilsvarende varer"
"For shipment with matching items","For levering med matchende varer"
"Field ","Felt "
" is required."," er påkrævet."
"Flat Rate","Porto"
"Enabled","Aktiveret"
"Method Name","Metodenavn"
"Price","Pris"
"Calculate Handling Fee","Beregner ekspeditionsgebyr"
"Handling Fee","Ekspeditionsgebyr"
"Sort Order","Sorteringsrækkefølge"
"Title","Titel"
"Type","Type"
"Ship to Applicable Countries","Send til gældende lande"
"Ship to Specific Countries","Send til bestemte lande"
"Show Method if Not Applicable","Vis metode, hvis ikke gældende"
"Displayed Error Message","Vises fejlmeddelelsen"
"Table Rates","Fragtmand"
"Condition","Tilstand"
"Include Virtual Products in Price Calculation","Omfat virtuelle produkter i prisberegningen"
"Export","Eksportér"
"Import","Import"
"Free Shipping","Fri fragt"
"Minimum Order Amount","Minimum ordre mængde"
"-- Please Select --","-- Vælg venligst --"
"Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")","Duplicate Row #%1 (Country ""%2"", Region/State ""%3"", Zip ""%4"" and Value ""%5"")"
"Sorry, but we can't deliver to the destination country with this shipping module.","Sorry, but we can't deliver to the destination country with this shipping module."
"The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again.","The Table Rates File Format is incorrect in row number ""%1"". Verify the format and try again."
"The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again.","The ""%1"" country in row number ""%2"" is incorrect. Verify the country and try again."
"The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again.","The ""%1"" region or state in row number ""%2"" is incorrect. Verify the region or state and try again."
"The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again.","The ""%1"" shipping price in row number ""%2"" is incorrect. Verify the shipping price and try again."
"The Table Rates File Format is incorrect. Verify the format and try again.","The Table Rates File Format is incorrect. Verify the format and try again."
"The ""%1"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1"" code type for Table Rate is incorrect. Verify the type and try again."
"The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again.","The ""%1: %2"" code type for Table Rate is incorrect. Verify the type and try again."
