"Export VCL for Varnish %1","Export VCL pour Varnish %1"
"Ttl value ""%1"" is not valid. Please use only numbers equal or greater than zero.","La valeur Ttl ""%1"" n'est pas valide. Veuillez utiliser uniquement des nombres égaux ou supérieurs à zéro."
"Built-in Cache","Cache intégré"
"Varnish Cache (Recommended)","Varnish Cache (Recommandé)"
"Unsupported varnish version","Version Varnish non supportée"
"Full Page Cache","Cache de page complet"
"Caching Application","Application de cache"
"Varnish Configuration","Configuration Varnish"
"Access list","Liste d'accès"
"IPs access list separated with ',' that can purge Varnish configuration for config file generation.
                            If field is empty default value localhost will be saved.","Liste d'accès IPs séparée par ',' qui peut purger la configuration de Varnish pour la génération de fichier de configuration.
                            Si le champ est vide par défaut, localhost sera sauvegardé."
"Backend host","Hôte de backend"
"Specify backend host for config file generation. If field is empty default value localhost will be saved.","Spécifiez l'hôte principal pour la génération du fichier de configuration. Si le champ est vide, la valeur par défaut localhost sera enregistrée."
"Backend port","Port du backend"
"Specify backend port for config file generation. If field is empty default value 8080 will be saved.","Spécifiez le port principal pour la génération du fichier de configuration. Si le champ est vide, la valeur par défaut 8080 sera enregistrée."
"Grace period","Période de Grâce"
"Specify grace period in seconds for config file generation. If field is empty default value 300 will be saved. This grace period will be used to serve cached content when the server is healthy. If the server is not healthy, cached content will be served for 3 days before failing.","Spécifiez la période de grâce en secondes pour la génération de fichier de configuration. Si le champ est vide par défaut 300 sera sauvegardé. Cette période de grâce sera utilisée pour servir le contenu en cache lorsque le serveur est sain. Si le serveur n'est pas en bonne santé, le contenu en cache sera servi pendant 3 jours avant d'échouer."
"TTL for public content","TTL pour le contenu publique"
"Public content cache lifetime in seconds. If field is empty default value 86400 will be saved.","Durée de vie en cache de contenu public en secondes. Si le champ est vide par défaut 86400 est enregistrée."
"Page Cache","Cache de page"
"Full page caching","Cache de Full page"
"Export VCL for Varnish ","Nom complet de la personne recevant le produit ou service payé par le paiement périodique."
"Built-in Application (Not Recommended for Production Use)","Application intégrée (non recommandée pour l'utilisation en production)"
"Varnish Caching","Cache Varnish"
"Full page caching.","Cache complet de page."
"Access List value ""%1"" is not valid. Please use only IP addresses and host names.","La valeur de la liste d'accès ""%1"" n'est pas valide. Veuillez utiliser uniquement les adresses IP et les noms d'hôtes."
"Export Configuration","Configuration d'export"
