"We cannot retrieve the payment method model object.","Impossible de récupérer l'objet modèle de méthode de paiement."
"Month","Mois"
"Year","Année"
"We cannot retrieve the payment info model object.","Impossible de récupérer l'objet modèle d'informations de paiement."
"N/A","N/A"
"Credit Card Type","Type de carte de crédit"
"Credit Card Number","Numéro de carte bancaire"
"Switch/Solo/Maestro Issue Number","Numéro de problème Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Date de début Switch/Solo/Maestro"
"We cannot retrieve the transparent payment method model object.","Impossible de récupérer l'objet modèle de paiement transparent."
"Command Executor for %1 is not defined.","L'Exécuteur de commande pour %1 n'est pas défini."
"Command %1 does not exist.","La commande %1 n'existe pas."
"Transaction has been declined. Please try again later.","La transaction a été refusée. Veuillez réessayer plus tard."
"Wrong gateway response format.","Format de réponse de passerelle erroné."
"Validator for field %1 does not exist.","Le validateur pour le champ %1 n'existe pas."
"Discount","Remise"
"Shipping","Livraison"
"All Allowed Countries","Tous les pays autorisés"
"Specific Countries","Certains pays"
"The payment method you requested is not available.","Le mode de paiement demandé n'est pas disponible."
"The payment disallows storing objects.","Le paiement n'autorise pas le stockage d'objets."
"We cannot retrieve the payment method code.","Impossible de récupérer le code du mode de paiement."
"We cannot retrieve the payment information object instance.","Impossible de récupérer l'instance d'objet des informations de paiement."
"You can't use the payment type you selected to make payments to the billing country.","Vous ne pouvez pas utiliser le type de paiement que vous avez choisi pour effectuer des paiements dans le pays de facturation."
"The order action is not available.","L'action 'commande' n'est pas disponible."
"The authorize action is not available.","L'action 'autoriser' n'est pas disponible."
"The capture action is not available.","L'action 'capturer' n'est pas disponible."
"The refund action is not available.","L'action 'rembourser' n'est pas disponible."
"The void action is not available.","L'action d'annulation n'est pas disponible."
"The payment review action is unavailable.","L'action de commentaire de paiement n'est pas disponible."
"The credit card number doesn't match the credit card type.","Le numéro de carte de paiement ne correspond pas au type de carte de paiement."
"Invalid Credit Card Number","Numéro de carte bancaire invalide"
"This credit card type is not allowed for this payment method.","Le type de carte bancaire n'est pas autorisé pour ce mode de paiement."
"Please enter a valid credit card verification number.","Veuillez saisir un numéro de vérification de carte bancaire valide."
"Please enter a valid credit card expiration date.","Veuillez entre une date d'expiration valide pour la carte."
"%1 class doesn't implement \Magento\Payment\Model\MethodInterface","la classe %1 n'implémente pas \Magento\Payment\Model\MethodInterface"
"Yes","Oui"
"No","Non"
"Failure #1","Echec #1"
"Failure #2","Echec #2"
"Expiration Date","Date d'expiration"
"Card Verification Number","Numéro de vérification"
"Payment method","Méthode de paiement"
" is not available. You still can process offline actions."," n'est pas disponible. Mais vous pouvez utiliser des modes hors connexion."
"Please Select","Veuillez sélectionner"
"We'll ask for your payment details before you place an order.","Nous vous demanderons vos détails de paiement avant de passer une commande."
"--Please Select--","--Votre choix--"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"What is this?","Qu'est-ce que c'est ?"
"Credit Card Information","Information de la carte bancaire"
"Place Order","Passez la commande"
"Forgot an Item?","Vous avez oublié un article ?"
"Edit Your Cart","Modifiez votre panier"
"Please enter a valid credit card type number.","Veuillez saisir un numéro de carte bancaire valide."
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte bancaire valide."
"Incorrect credit card expiration month.","Mois d’expiration de carte de crédit incorrect."
"Incorrect credit card expiration year.","Année d’expiration de carte de crédit incorrecte."
"An error occurred on the server. Please try to place the order again.","Une erreur s'est produite sur le serveur. S'il vous plaît essayer de mettre de l'ordre nouveau."
"Payment Methods Section","Section modes de paiement"
"Payment Services","Services de paiement"
"Payment Methods","Modes de paiement"
"Switch/Solo/Maestro Only","Switch/Solo/Maestro seulement"
"Issue Number","Numéro de problème"
"Start Date","Date de début"
"Please provide payment for the order.","Veuillez procéder au paiement pour la commande."
"Visa","Visa"
"American Express","American Express"
"The ""%1"" command executor isn't defined. Verify the executor and try again.","L'exécutable de commande ""%1"" n'est pas défini. Vérifiez l'exécutable et réessayez."
"The ""%1"" command doesn't exist. Verify the command and try again.","La commande ""%1"" n'existe pas. Vérifiez la commande et réessayez."
"The gateway response format was incorrect. Verify the format and try again.","Le format de réponse de la passerelle est incorrect. Vérifiez le format et réessayez."
"The validator for the ""%1"" field doesn't exist.","Le validateur pour le champ ""%1"" n'existe pas."
"Unable to place order. Please try again later.","Impossible de passer commande. Veuillez réessayer ultérieurement."
