"Billing Agreements","Споразумения за плащане"
"ID","ИД"
"Email","Имейл"
"First Name","Име"
"Last Name","Фамилия"
"Reference ID","Референтен номер"
"Status","Статус"
"Created","Създаден:"
"N/A","Не е достъпно"
"Updated","Актуализиран"
"Back","Обратно"
"Are you sure you want to do this?","Сигурни ли сте, че искате да направите това?"
"Cancel","Отказ"
"Billing Agreement #%1","Споразумение за фактуриране #%1"
"General Information","Обща информация"
"Related Orders","Свързани поръчки"
"Order","Поръчка"
"Purchased","Закупен"
"Bill-to Name","Фактурирай на Име"
"Ship-to Name","Достави на Име"
"Order Total","Поръчка общо"
"Purchase Point","Точка на покупка"
"Billing Agreement View","Преглед на споразумение за фактуриране"
"Are you sure you want to authorize full order amount?","Наистина ли искате да разрешите пълната сума на поръчката?"
"Authorize","Разреши"
"View Transaction Details","Преглед на подробни данни за транзакцията"
"Reference Information","Справочна информация"
"Transaction Information","Информация за транзакция"
"PayPal Fee Information","PayPal такса информация"
"PayPal Settlement Reports","PayPal уреждане доклади"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Свързахте се с PayPal SFTP сървър да изтеглите нови отчети. Наистина ли искате да продължите?"
"Fetch Updates","Извличане на актуализации"
"button_label","етикет_на_бутона"
"sandbox_button_label","sandbox_button_label"
"Help","Помощ"
"Configure","Конфигуриране на"
"Close","Затвори"
"Learn More","Научете повече"
"View Demo","Виж демо версията"
"See terms","Виж условията"
"You will be redirected to the PayPal website.","Ще бъдете пренасочени към сайта на PayPal."
"You will be redirected to the PayPal website when you place an order.","Ще бъдете пренасочени към сайта на PayPal след приключване на поръчката"
"Incl. Tax","Вкл. Ддс"
"Billing Information","Информация за фактуриране"
"Shipping Information","Информация за доставка"
"Invalid block type","Невалиден тип блок"
"Please specify the correct billing agreement ID and try again.","Моля Задайте правилния ИД на споразумение за фактуриране и опитайте отново."
"You canceled the billing agreement.","Отменихте споразумението за фактуриране."
"We can't cancel the billing agreement.","Не може да анулира договора за фактуриране."
"You deleted the billing agreement.","Изтрихте споразумението за фактуриране."
"We can't delete the billing agreement.","Не може да изтрие Споразумението за фактуриране."
"Payment authorization has been successfully created.","Оторизацията за плащане е създадена успешно."
"Unable to make payment authorization.","Не може да се направи оторизация за плащане."
"Reports","Доклади"
"Sales","Продажби"
"View Transaction","Преглед на транзакция"
"We found nothing to fetch because of an empty configuration.","Не намерихме нищо за извличане поради празна конфигурация."
"We fetched %1 report rows from ""%2@%3.""","Извлякохме %1 реда в отчета от ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","We can't fetch Доклади from ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Споразумението за таксуване ""%1"" е анулирано."
"The billing agreement ""%1"" has been created.","Споразумението за таксуване ""%1"" е създадено."
"We couldn't finish the billing agreement wizard.","Не успяхме да завършим съветника за споразумението за фактуриране."
"We can't start the billing agreement wizard.","Не може да стартира съветника за споразумение за фактуриране."
"Billing Agreement # %1","Споразумение за фактуриране # %1"
"We can't initialize Express Checkout.","Не може да инициализира Express Checkout."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token не съществува."
"A wrong PayPal Express Checkout Token is specified.","Посочен е грешен токен за PayPal Express Checkout."
"Express Checkout and Order have been canceled.","Експресно плащане и поръчка са анулирани."
"Express Checkout has been canceled.","Експресно плащане е анулирано."
"Unable to cancel Express Checkout","Не може да се анулира експресното плащане"
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"We can't process Express Checkout approval.","Не може да обработи Express Checkout одобрение."
"We can't initialize Express Checkout review.","Не може да инициализира Express Checkout преглед."
"We can't update shipping method.","Не може да актуализира метода на доставка."
"We can't start Express Checkout.","Не може да стартира Express Checkout."
"To check out, please sign in with your email address.","За да поръчате, моля влезте в профила си с Вашия email адрес."
"Sorry, but something went wrong","Съжаляваме, но нещо се обърка"
"Your payment has been declined. Please try again.","Вашето плащане е било отхвърлено. Моля, опитайте отново."
"Requested payment method does not match with order.","Заявения начин на плащане не съвпада с поръчката."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Искате ли да подпишете споразумение за фактуриране, за да рационализирате по-нататъшните покупки с PayPal?"
"Error processing payment, please try again later.","Error processing payment, please try again later."
"Authorization is not allowed.","Упълномощаване не е позволено."
"Payment Gateway is unreachable at the moment. Please use another payment option.","В момента Payment Gateway е недостъпен. Моля, използвайте друга опция за плащане."
"PayPal response hasn't required fields.","PayPal отговор няма задължителни полета."
"Something went wrong while processing your order.","Нещо се обърка докато обработвахме вашата заявката."
"PayPal gateway has rejected request. %1","PayPal gateway отхвърли искането. %1"
"The PayPal gateway rejected the request. %1","PayPal gateway отхвърля искането. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Съжалявам - но ние не бяхме в състояние да обработим плащането ви. Опитайте друг метод на плащане или се свържете с нас, така че ние може да ви помогне."
