"You saved the alert subscription.","You saved the alert subscription."
"There are not enough parameters.","There are not enough parameters."
"The alert subscription couldn't update at this time. Please try again later.","The alert subscription couldn't update at this time. Please try again later."
"Alert subscription has been saved.","Alert subscription has been saved."
"The product wasn't found. Verify the product and try again.","ಉತ್ಪನ್ನವು ಕಂಡುಬಂದಿಲ್ಲ. ಉತ್ಪನ್ನವನ್ನು ಪರಿಶೀಲಿಸಿ ಮತ್ತು ಮತ್ತೊಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ."
"You deleted the alert subscription.","You deleted the alert subscription."
"You will no longer receive price alerts for this product.","You will no longer receive price alerts for this product."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"You will no longer receive stock alerts for this product.","You will no longer receive stock alerts for this product."
"The product was not found.","ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ."
"You will no longer receive stock alerts.","You will no longer receive stock alerts."
"Invalid block type: %1","Invalid block type: %1"
"Product alerts are sent successfully.","Product alerts are sent successfully."
"Sorry, something went wrong during mailing product alerts. Please see log for details.","Sorry, something went wrong during mailing product alerts. Please see log for details."
"Mailing of Product Alerts","Mailing of Product Alerts"
"Price change alert! We wanted you to know that prices have changed for these products:","Price change alert! We wanted you to know that prices have changed for these products:"
"Price:","ದರ:"
"Click here to stop alerts for this product.","Click here to stop alerts for this product."
"Unsubscribe from all price alerts","Unsubscribe from all price alerts"
"In stock alert! We wanted you to know that these products are now available:","In stock alert! We wanted you to know that these products are now available:"
"Unsubscribe from all stock alerts","Unsubscribe from all stock alerts"
"Product alerts Cron error","Product alerts Cron error"
"Product alerts cron warnings","Product alerts cron warnings"
"Products price changed alert","Products price changed alert"
"%name,","%name,"
"Products back in stock alert","Products back in stock alert"
"Product Alerts","ಉತ್ಪನ್ನದ ಸೂಚನೆಗಳು"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Allow Alert When Product Comes Back in Stock","Allow Alert When Product Comes Back in Stock"
"Price Alert Email Template","Price Alert Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Stock Alert Email Template","Stock Alert Email Template"
"Alert Email Sender","Alert Email Sender"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Frequency","ಆವರ್ತನ"
"Start Time","ಪ್ರಾರಂಭದ ಸಮಯ"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","ದೋಷ ಮಿಂಚೆಯ ಮಾದರಿ"
"Notify me when the price drops","ದರ ಇಳಿಕೆಯಾದಾಗ ನನಗೆ ತಿಳಿಸಿ"
"Notify me when this product is in stock","ಈ ಉತ್ಪನ್ನವು ಲಭ್ಯವಾದಾಗ ನನಗೆ ತಿಳಿಸಿ"
