"You saved the alert subscription.","You saved the alert subscription."
"There are not enough parameters.","There are not enough parameters."
"We can't update the alert subscription right now.","We can't update the alert subscription right now."
"Alert subscription has been saved.","Alert subscription has been saved."
"You deleted the alert subscription.","You deleted the alert subscription."
"We can't find the product.","We can't find the product."
"You will no longer receive price alerts for this product.","이제부터 해당 상품에 대한 가격 알림을 받아보지 않습니다."
"Unable to update the alert subscription.","Unable to update the alert subscription."
"You will no longer receive stock alerts for this product.","이제부터 해당 상품의 재고에 대한 알림을 받아보지 않습니다."
"The product was not found.","해당 상품을 찾을 수 없습니다."
"You will no longer receive stock alerts.","재고알림을 더이상 받지 않습니다."
"Invalid block type: %1","Invalid block type: %1"
"Price change alert! We wanted you to know that prices have changed for these products:","가격 변동 알림! 해당 제품들에 대한 가격이 변경되었음을 알려드립니다."
"Price:","가격:"
"Click here to stop alerts for this product.","이 제품에 대한 알람을 중지 하려면 여기를 클릭 하십시오."
"Unsubscribe from all price alerts","모든 가격 알림을 중지"
"In stock alert! We wanted you to know that these products are now available:","In stock alert! We wanted you to know that these products are now available:"
"Unsubscribe from all stock alerts","모든 재고 알림 취소"
"Product alerts Cron error","Product alerts Cron error"
"Product alerts cron warnings","Product alerts cron warnings"
"Products price changed alert","Products price changed alert"
"%name,","%name,"
"Products back in stock alert","재고가 생기면 알림"
"Product Alerts","상품 알림"
"Allow Alert When Product Price Changes","Allow Alert When Product Price Changes"
"Allow Alert When Product Comes Back in Stock","재고가 다시 들어올 때 알림 허용"
"Price Alert Email Template","Price Alert Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Stock Alert Email Template","Stock Alert Email Template"
"Alert Email Sender","Alert Email Sender"
"Product Alerts Run Settings","Product Alerts Run Settings"
"Frequency","빈도"
"Start Time","시작 시간"
"Error Email Recipient","에러 이메일 받는 사람"
"Error Email Sender","에러 메일 전송자"
"Error Email Template","에러 이메일 템플릿"
"Notify me when the price drops","Notify me when the price drops"
"Notify me when this product is in stock","재고가 들어오면 알려주세요."
"Sign up for price alert","Sign up for price alert"
"Sign up to be notified when this product is back in stock.","Sign up to be notified when this product is back in stock."
"The alert subscription couldn't update at this time. Please try again later.","The alert subscription couldn't update at this time. Please try again later."
"The product wasn't found. Verify the product and try again.","The product wasn't found. Verify the product and try again."
