"Url","Url"
"Title","ಶೀರ್ಷಿಕೆ"
"Description","ವಿವರಣೆ"
"Preview Image","ಮುನ್ನೋಟ ಚಿತ್ರ"
"Get Video Information","ವಿಡಿಯೋ ಮಾಹಿತಿಯನ್ನು ಪಡೆಯಿರಿ"
"Hide from Product Page","ಉತ್ಪನ್ನದ ಪುಟದಿಂದ ಮರೆಮಾಡಿ"
"Role","Role"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first."
"Protocol isn't allowed","Protocol isn't allowed"
"Disallowed file type.","Disallowed file type."
"Could not get preview image information. Please check your connection and try again.","Could not get preview image information. Please check your connection and try again."
"Add Video","ವಿಡಿಯೋ ಸೇರಿಸಿ"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete video","ವಿಡಿಯೋವನ್ನು ಅಳಿಸಿ"
"Delete image","ಚಿತ್ರ ಅಳಿಸಿ"
"Hidden","ಮರೆ ಮಾಡಿದ"
"Alt Text","Alt Text"
"Image Size","ಚಿತ್ರದ ಗಾತ್ರ"
"{size}","{size}"
"Image Resolution","ಚಿತ್ರದ ರೆಸೊಲ್ಯುಷನ್"
"{width}^{height} px","{width}^{height} px"
"Title:","ಶೀರ್ಷಿಕೆ:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","ಅವಧಿ:"
"Video Error","Video Error"
"Unknown video type","Unknown video type"
"Invalid video url","ಅಸಿಂಧುವಾದ ವಿಡಿಯೋ url"
"Youtube API key is invalid","Youtube API key is invalid"
"Video cant be shown due to the following reason: ","ಈ ಕೆಳಗಿನ ಕಾರಣದಿಂದಾಗಿ ವಿಡಿಯೋ ಅನ್ನು ಪ್ರದರ್ಶಿಶಲಾಗುವುದಿಲ್ಲ: "
"Video not found","ವಿಡಿಯೋ ಕಂಡುಬಂದಿಲ್ಲ"
"New Video","ಹೊಸ ವಿಡಿಯೋ"
"Save","ಉಳಿಸಿ"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Delete","ಅಳಿಸಿ"
"Edit Video","ವಿಡಿಯೋ ಸಂಪಾದಿಸಿ"
"Images and Videos","ಚಿತ್ರಗಳು ಮತ್ತು ವಿಡಿಯೋಗಳು"
"Product Video","ಉತ್ಪನ್ನದ ವಿಡಿಯೋ"
"YouTube API Key","YouTube API ಕೀ"
"Autostart base video","Autostart base video"
"Show related video","ಸಂಬಂಧಿತ ವಿಡಿಯೋ ಪ್ರದರ್ಶಿಸಿ"
"Auto restart video","Auto restart video"
"Images And Videos","ಚಿತ್ರಗಳು ಮತ್ತು ವಿಡಿಯೋಗಳು"
"Click here to add videos.","Click here to add videos."
"Add video","Add video"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"Delete image in all store views","Delete image in all store views"
"The preview image information is unavailable. Check your connection and try again.","The preview image information is unavailable. Check your connection and try again."
