"Url","Url"
"Title","Наслов"
"Description","Опис"
"Preview Image","Преглед слике"
"Get Video Information","Гет Видео Информације"
"Hide from Product Page","Сакрити од производне странице"
"Role","Улога"
"YouTube and Vimeo supported.","YouTube and Vimeo supported."
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Вимео подржан.<бр />Да бисте додали YоуТубе видео, прво <а хреф=""%1"">унесите YоуТубе АПИ кључ</а>."
"Protocol isn't allowed","Протокол није дозвољен"
"Disallowed file type.","Недозвољени тип фајла."
"Could not get preview image information. Please check your connection and try again.","Није могао гет превиеw имаге информатион. Плеасе цхецк yоур цоннецтион анд покушајте поново."
"Add Video","Додај Видео"
"Browse to find or drag image here","Претражите да пронађете и убаците слику овде"
"Delete video","Обриши видео"
"Delete image","Обриши слику"
"Hidden","Скривено"
"Alt Text","Алтернативни текст"
"Image Size","Величина Слике"
"{size}","{size}"
"Image Resolution","Резолуција Слике"
"{width}^{height} px","{width}^{height} px"
"Title:","Наслов:"
"Uploaded:","Uploaded:"
"Uploader:","Uploader:"
"Duration:","Duration:"
"Video Error","Видео Грешка"
"Unknown video type","Непознат тип видеа"
"Invalid video url","Неисправан УРЛ видеа"
"Youtube API key is invalid","YоуТубе АПИ кључ је неисправан"
"Video cant be shown due to the following reason: ","Видео цант бе схоwн дуе то тхе фоллоwинг реасон:"
"Video not found","Видео није пронађено"
"New Video","Ново Видео"
"Save","Сачувај"
"Cancel","Откажи"
"Delete","Обрисати"
"Edit Video","Измени Видео"
"Images and Videos","Images and Videos"
"Product Video","Видео производа"
"YouTube API Key","YouTube API Key"
"Autostart base video","Autostart base video"
"Show related video","Прикажи релатед видео"
"Auto restart video","Auto restart video"
"Images And Videos","Images And Videos"
"Click here to add videos.","Click here to add videos."
"Add video","Додај видео"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Постави као основу"
"Delete image in all store views","Обриши слику у свим приказима продавница"
"The preview image information is unavailable. Check your connection and try again.","Тхе превиеw имаге информатион ис унаваилабле. Цхецк yоур цоннецтион анд покушајте поново."
