"Unable to save address. Please check input data.","Impossible d'enregistrer l'adresse. Veuillez vérifier les données d'entrée."
"Cart %1 doesn't contain products","Panier"
"Could not apply coupon code","Sélectionnez un mode de paiement valide."
"Coupon code is not valid","Le code d'offre spéciale n'est pas valide"
"Could not delete coupon code","Impossible de supprimer le code d'offre spéciale"
"Cannot assign customer to the given cart. You don't have permission for this operation.","Impossible d'attribuer le client au panier donné. Vous n'avez pas la permission pour cette opération."
"Shipping address is not set","L'adresse de livraison n'est pas renseignée"
"The requested Payment Method is not available.","Le mode de paiement demandé n'est pas disponible."
"We found an invalid request for adding product to quote.","Nous avons constaté une demande non valide pour l'ajout du produit au devis."
"Product that you are trying to add is not available.","Le produit que vous essayez d'ajouter n'est pas disponible."
"This is the wrong quote item id to update configuration.","Cet identifiant d'article de devis est incorrect pour mettre à jour la configuration."
"This shipping method is not available. To use this shipping method, please contact us.","Ce mode de livraison n'est pas disponible. Pour utiliser ce mode de livraison, veuillez nous contacter."
"The address model is not defined.","Le modèle d'adresse n'est pas défini."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Le modèle d'adresse total devrait être étendu à partir de                                                                                
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Grand Total","Montant global"
"Shipping & Handling (%1)","Frais de port (%1)"
"Shipping & Handling","Frais de port"
"Shipping","Livraison"
"Subtotal","Sous-total"
"We found an invalid item option format.","Nous avons trouvé un format d'option d'article non valide."
"An item option with code %1 already exists.","Une option article avec le code %1 existe déjà."
"Item qty declaration error","Erreur de déclaration de la quantité d'articles"
"Some of the products below do not have all the required options.","Certains produits ci-dessous n'ont pas toutes les options obligatoires."
"Something went wrong during the item options declaration.","Une erreur s'est produite lors de la déclaration des options d'article."
"We found an item options declaration error.","Nous avons trouvé une erreur de déclaration d'options d'article."
"Some of the selected options are not currently available.","Certaines options sélectionnées ne sont pas disponibles pour le moment."
"Selected option(s) or their combination is not currently available.","Les options sélectionnées ou leur combinaison ne sont pas disponibles pour le moment."
"Some item options or their combination are not currently available.","Certaines options ou leur combinaison ne sont pas disponibles pour le moment."
"Cart %1 does not contain item %2","Le panier %1 ne contient pas l'article %2"
"Could not save quote","Impossible d'enregistrer le devis"
"Cart %1 doesn't contain item  %2","Le panier %1 ne contient pas d'article  %2"
"Could not remove item from quote","Impossible de retirer l'article du devis"
"The qty value is required to update quote item.","Une quantité est requise pour mettre à jour un article du devis."
"Minimum order amount is %1","Le montant minimal de commande est %1"
