"Save Review","Simpan Ulasan"
"New Review","Ulasan Baru"
"Review Details","Rincian Ulasan"
"Product","Produk"
"Product Rating","Nilai Produk"
"Status","Keadaan"
"Visibility","Visibilitas"
"Nickname","Nama panggilan"
"Summary of Review","Summary of Review"
"Review","Ulasan"
"Previous","Sebelumnya"
"Save and Previous","Simpan dan Sebelumnya"
"Save and Next","Simpan dan Lanjutkan"
"Next","Lanjut"
"Delete Review","Hapus Ulasan"
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Edit Review '%1'","Edit Ulasan '%1'"
"<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>","<a href=""%1"" onclick=""this.target='blank'"">%2 %3</a> <a href=""mailto:%4"">(%4)</a>"
"Administrator","Administrator"
"Guest","Tamu"
"Author","Penulis"
"Summary Rating","Summary Rating"
"Detailed Rating","Detailed Rating"
"ID","Nomor"
"Created","Buat"
"Title","Judul"
"Type","Jenis"
"SKU","SKU"
"Action","Tindakan"
"Edit","Ubah"
"Delete","Hapus"
"Are you sure?","Apakah Anda Yakin?"
"Update Status","Perbarui Status"
"Customer","Pelanggan"
"Pending Reviews of Customer `%1`","Pending Reviews of Customer `%1`"
"Pending Reviews","Ulasan Tertunda"
"All Reviews of Customer `%1`","Semua Ulasan Pelanggan `%1`"
"All Reviews of Product `%1`","Semua Ulasan Produk `%1`"
"All Reviews","Semua Ulasan"
"Name","Nama"
"Product Store Name","Nama Toko Produk"
"Price","Harga"
"Quantity","Kuantitas"
"Websites","Situs Web"
"Manage Ratings","Kelola Peringkat"
"Add New Rating","Tambahkan Peringkat Baru"
"Save Rating","Simpan Peringkat"
"Delete Rating","Hapus Peringkat"
"Edit Rating #%1","Edit Peringkat #%1"
"New Rating","Peringkat Baru"
"Rating Title","Judul Peringkat"
"Default Value","Nilai Default"
"Rating Visibility","Rating Visibility"
"Is Active","Aktif"
"Sort Order","Urutan"
"Rating Information","Rating Information"
"Product Reviews","Ulasan Produk"
