"Return","İade"
"Returns","İadeler"
"Create Returns","İade Oluştur"
"Select Items","Öğeleri seç"
"New Return Request","Yeni İade Talebi"
"Create New RMA for %1 in %2","Yeni RMA Oluştur %1 ve %2 için"
"Create New RMA for %1","Yeni RMA oluştur %1 için"
"Create New RMA","Yeni RMA oluştur"
"Please Select Order","Lütfen sipariş seçin"
"Order","Sipariş"
"Purchase Point","Satın alma Noktası"
"Purchased","Satın alınan"
"Customer First Name","Müşteri Adı"
"Customer Last Name","Müşteri Soyadı"
"Grand Total (Base)","Genel Toplam (Temel)"
"Grand Total (Purchased)","Genel toplam (satın alınmış)"
"Status","Durum"
"Save and Continue Edit","Kaydet ve Devam Et"
"Close","Kapat"
"Are you sure you want to close this returns request?","Bu iade talebini kapatmak istediğinizden emin misiniz?"
"Print","Yazdır"
"Return #%1 - %2","Dönüş #%1 - %2"
"RMA Item Details","RMA Öğesi Detayları"
"OK","TAMAM"
"Cancel","İptal"
"No","Hayır"
"Yes","Evet"
"Delete Image","Resim Sil"
"View Full Size","Tam Boyutu Göster"
"General Information","Genel Bilgi"
"Submit Comment","Açıklama Gönder"
"Add","Ekle"
"Custom Value","Özel Değer"
"Print Shipping Label","Kargo Etiketini Yazdır"
"Show Packages","Paketleri Göster"
"Items","Ürünler"
"Return Items","İade Ürünleri"
"Product","Ürün"
"SKU","Ürün Kodu"
"Remaining","Kalan"
"Requested","İstenen"
"Authorized","Yetkilendirildi"
"Returned","Geri Dönen"
"Approved","Onaylandı"
"Return Reason","İade nedeni"
"Item Condition","Ürün Durumu"
"Resolution","Çözüm"
"Details","Detaylar"
"Split","Bölünmüş"
"Action","Eylem"
"Return Information","İade Bilgileri"
"RMA","RMA"
"Ordered","Sipariş Tarihi"
"Customer","Müşteri"
"View","Göster"
"You have chosen to change status(es) of the selected RMA requests to Close. Are you sure you want to continue?","Seçilen RMA durum(lar)ını Kapat olarak değiştirmeyi seçtiniz. Devam etmek istediğine emin misin?"
"Return Item Attribute","Dönüş Öğesi Özelliği"
"Add New Attribute","Yeni Özellik Ekle"
"Save Attribute","Özelliği Kaydet"
