"Apply","Anvend"
"Please choose a valid discount amount.","Velg et gyldig rabattbeløp."
"End Date must follow Start Date.","Sluttdatoen må følge startdato."
"Please specify a website.","Vennligst angi et nettsted."
"Please specify Customer Groups.","Angi kundegrupper."
"to","til"
"by","av"
"Please choose an action to add.","Please choose an action to add."
"Perform following actions","Perform following actions"
"is","er"
"is not","er ikke"
"equals or greater than","lik eller større enn"
"equals or less than","er lik eller mindre enn"
"greater than","større enn"
"less than","mindre enn"
"contains","inneholder"
"does not contain","inneholder ikke"
"is one of","er en av"
"is not one of","er ikke en av"
"Please choose a condition to add.","Velg en betingelse å legge til."
"Add","Legg til"
"Remove","Fjern"
"ALL","ALLE"
"ANY","ANY"
"TRUE","SANT"
"FALSE","FEIL"
"If %1 of these conditions are %2:","If %1 of these conditions are %2:"
"Conditions Combination","Betingelsekombinasjon"
"Attribute Set","Attributtsett"
"Category","Kategori"
"Open Chooser","Åpne Velger"
"Unknown condition operator","Unknown condition operator"
"There is no information about associated entity type ""%1"".","There is no information about associated entity type ""%1""."
"This won't take long . . .","Dette vil ikke ta lang tid . . ."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
