"Apply","Zastosuj"
"Please choose a valid discount amount.","Proszę wybrać prawidłową kwotę rabatu."
"End Date must follow Start Date.","Data końcowa musi być po dacie rozpoczęcia."
"Please specify a website.","Proszę określić stronę internetową."
"Please specify Customer Groups.","Proszę określić grupy klientów."
"to","do"
"by","od"
"Please choose an action to add.","Wybierz operację do dodania."
"Perform following actions","Wykonaj następujące czynności"
"is","jest"
"is not","nie jest"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"greater than","większy niż"
"less than","mniej niż"
"contains","zawiera"
"does not contain","nie zawiera"
"is one of","jest jednym z"
"is not one of","nie jest jednym z"
"Please choose a condition to add.","Wybierz warunek do dodania."
"Add","Dodaj"
"Remove","Usuń"
"ALL","WSZYSTKIE"
"ANY","DOWOLNY"
"TRUE","PRAWDA"
"FALSE","FAŁSZ"
"If %1 of these conditions are %2:","Jeżeli %1 z tych warunków jest %2:"
"Conditions Combination","Kombinacja warunków"
"Attribute Set","Zestaw cech"
"Category","Kategoria"
"Open Chooser","Otwórz selektor"
"Unknown condition operator","Nieznany stan operatora"
"There is no information about associated entity type ""%1"".","Nie można pobrać informacji o powiązanym obiekcie: ""%1""."
"This won't take long . . .","To nie potrwa długo..."
"Please specify valid %1.","Please specify valid %1."
"is undefined","is undefined"
