"Credit Memos","Creditfacturen"
"Orders","Bestellingen"
"Invoices","Facturen"
"We can't get the order instance right now.","Orderexemplaar kan niet worden verkregen."
"Create New Order","Nieuwe bestelling aanmaken"
"Save Order Address","Bestelling-adres opslaan"
"Shipping","Aflevering"
"Billing","Facturatie"
"Edit Order %1 %2 Address","Wijzig bestelling %1 %2 adres"
"Order Address Information","Bestelling adres-informatie"
"Please correct the parent block for this block.","Corrigeer het bovenliggend blok van dit blok."
"Submit Comment","Opmerking opslaan"
"Submit Order","Bestelling inboeken"
"Are you sure you want to cancel this order?","Weet u zeker dat u deze bestelling wilt annuleren?"
"Cancel","Annuleer"
"Billing Address","Factuuradres"
"Payment Method","Betaalmethode"
"Order Comment","Notities bestelling"
"Coupons","Kortingsbonnen"
"Please select a customer","Selecteer een klant"
"Create New Customer","Nieuwe klant aanmaken"
"Account Information","Account Gegevens"
"From","Van"
"To","Aan"
"Message","Bericht"
"Edit Order #%1","Order #%1 bewerken"
"Create New Order for %1 in %2","Nieuwe bestelling aanmaken voor %1 in %2"
"Create New Order in %1","Nieuwe Bestelling aanmaken in %1"
"Create New Order for %1","Nieuwe bestelling aanmaken voor %1"
"Create New Order for New Customer","Nieuwe bestelling voor nieuwe klant aanmaken"
"Items Ordered","Bestelde artikelen"
"This product is disabled.","Dit product is uitgeschakeld."
"Buy %1 for price %2","Koop %1 voor prijs %2"
"Item ordered qty","Aantal bestelde artikelen"
"%1 with %2 discount each","%1 met %2 korting, elke"
"%1 for %2","%1 voor %2"
"* - Enter custom price including tax","* - Voer speciale prijs in inclusief BTW"
"* - Enter custom price excluding tax","* - Voer speciale prijs in exclusief BTW"
"Configure","Configureren"
"This product does not have any configurable options","Dit product heeft geen configureerbare opties"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Please select products","Selecteer producten"
"Add Selected Product(s) to Order","Geselecteerd(e) product(en) aan bestelling toevoegen"
"ID","ID"
"Product","Product"
"SKU","Art.nr."
"Price","prijs"
"Select","Selecteer"
"Quantity","Aantal"
"Shipping Address","Bezorgadres"
"Shipping Method","Bezorgmethode"
"Update Changes","Wijzigingen bijwerken"
"Shopping Cart","Winkelwagen"
"Are you sure you want to delete all items from shopping cart?","Weet u er zeker dat u alle producten wilt verwijderen uit de winkelwagen?"
"Clear Shopping Cart","Leeg winkelwagen"
"Products in Comparison List","Producten in vergelijk-lijst"
"Recently Compared Products","Recent vergeleken producten"
"Recently Viewed Products","Recent bekeken producten"
"Last Ordered Items","Laatst bestelde artikelen"
"Recently Viewed","Recent bekeken"
"Wish List","Verlanglijst"
"Please select a store","Selecteer een winkel"
"Order Totals","Bestelling-totalen"
"Shipping Incl. Tax (%1)","Verzendkosten incl. BTW (%1)"
"Shipping Excl. Tax (%1)","Verzendkosten excl. BTW (%1)"
"New Credit Memo for Invoice #%1","Nieuwe creditfactuur voor factuur #%1"
"New Credit Memo for Order #%1","Nieuwe creditfactuur voor order #%1"
"Refund Shipping (Incl. Tax)","Verzendkosten terugbetalen (Incl. BTW)"
"Refund Shipping (Excl. Tax)","Verzendkosten terugbetalen (Excl. BTW)"
"Refund Shipping","Afleverkosten terugbetalen"
"Update Qty's","Het aantal bijwerken"
"Update Totals","Totalen bijwerken"
"Refund","Terugbetaling"
"Refund Offline","Handmatig terugbetalen"
"Paid Amount","Betaald bedrag"
"Refund Amount","Bedrag terugbetaling"
"Shipping Amount","Afleverbedrag"
"Shipping Refund","Terugbetaling van verzending"
"Order Grand Total","Eindtotaal van bestelling"
"Adjustment Refund","Extra creditering (klant extra terug betalen)"
"Adjustment Fee","Crediteringskosten (klant minder terug betalen)"
"Send Email","Verstuur e-mail"
"Are you sure you want to send a credit memo email to customer?","Weet u zeker dat u een creditfactuur naar de klant wilt versturen?"
"Void","Nietig verklaard"
"Print","Afdrukken"
"The credit memo email was sent.","Creditfactuur e-mail werd verzonden."
"The credit memo email wasn't sent.","Credit memo e-mail werd niet verzonden."
"Credit Memo #%1 | %3 | %2 (%4)","Creditfactuur #%1 | %3 | %2 (%4)"
"Total Refund","Totaal terugbetalen"
"New Invoice and Shipment for Order #%1","Nieuwe factuur en verzending voor bestelling %1"
"New Invoice for Order #%1","Nieuwe factuur voor bestelling #%1"
"Submit Invoice and Shipment","Sla factuur en verzending op"
"Submit Invoice","Factuur inboeken"
"Are you sure you want to send an invoice email to customer?","Weet u zeker dat u een factuur e-mail naar de klant wilt versturen?"
"Credit Memo","Creditfactuur"
"Capture","Registreer betaling"
"The invoice email was sent.","Factuur e-mail werd verzonden."
"The invoice email wasn't sent.","E-mail met factuur is niet verzonden."
"Invoice #%1 | %2 | %4 (%3)","Factuur #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","Ongeldig 'moederblok' voor dit 'blok'"
"Order Statuses","Orderstatussen"
"Create New Status","Nieuwe status aanmaken"
"Assign Status to State","Wijs status toe aan staat"
"Save Status Assignment","Status toewijzing opslaan"
"Assign Order Status to State","Wijs bestelling-status toe aan staat"
"Assignment Information","Toewijzing-informatie"
"Order Status","Bestelling Status"
"Order State","Bestelling-staat"
"Use Order Status As Default","Gebruik bestelling-status als standaard"
"Visible On Storefront","Zichtbaar in winkeletalage"
"Edit Order Status","Wijzig bestelling-status"
"Save Status","Status opslaan"
"New Order Status","Nieuwe orderstatus"
"Order Status Information","Bestelling-statusinformatie"
"Status Code","Statuscode"
"Status Label","Statuslabel"
"Store View Specific Labels","Winkelaanzicht specifieke labels"
"Total Paid","Totaal betaald"
"Total Refunded","Totaal terugbetaald"
"Total Due","Totaal te betalen"
"Edit","Bewerken"
"Are you sure you want to send an order email to customer?","Weet u zeker dat u een bestelbevestiging naar de klant wilt versturen?"
"This will create an offline refund. To create an online refund, open an invoice and create credit memo for it. Do you want to continue?","Hiermee wordt een off-line terugbetaling aangemaakt. Als u een online terugbetaling wilt aanmaken, opent u een factuur en maak daarvoor een creditfactuur aan. Wilt u doorgaan?"
"Are you sure you want to void the payment?","Weet u zeker dat u de betaling nietig wilt verklaren?"
"Hold","Vasthouden"
"hold","vasthouden"
"Unhold","Vrijgeven"
"unhold","vrijgeven"
"Are you sure you want to accept this payment?","Weet u zeker dat u akkoord gaat met deze betaling?"
