"Move to Archive","Move to Archive"
"Move to Order Management","Move to Order Management"
"We have archived the order.","We have archived the order."
"Please specify the order ID to be archived.","Please specify the order ID to be archived."
"Credit Memos","Credit Memos"
"Invoices","청구서"
"We archived %1 order(s).","We archived %1 order(s)."
"We can't archive the selected order(s).","We can't archive the selected order(s)."
"We removed %1 order(s) from the archive.","We removed %1 order(s) from the archive."
"Orders","주문"
"We have removed the order from the archive.","We have removed the order from the archive."
"Please specify the order ID to be removed from archive.","Please specify the order ID to be removed from archive."
"Shipments","배송"
"There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.","There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled."
"Archive","Archive"
"Restore from Archive","Restore from Archive"
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
"Enable Archiving","Enable Archiving"
"Archive Orders Purchased","Archive Orders Purchased"
"Order Statuses to be Archived","Order Statuses to be Archived"
"Mass Add","Mass Add"
"Add","추가"
"Sales Archive","Sales Archive"
"All Store Views","모든 스토어뷰"
"Purchased From","Purchased From"
"PDF Credit Memos","PDF Credit Memos"
"Credit Memo","Credit Memo"
"Created","생성됨 "
"Order","주문"
"Order Date","주문일"
"Bill-to Name","Bill-to Name"
"Status","상태"
"Refunded","환불됨"
"Order Status","주문 진행상태"
"Billing Address","청구 주소"
"Shipping Address","배송지 주소"
"Customer Name","고객 이름"
"Email","이메일 주소"
"Customer Group","고객 그룹"
"Payment Method","결제방법"
"Shipping Information","배송 정보"
"Subtotal","소계"
"Shipping & Handling","배송료"
"Adjustment Refund","Adjustment Refund"
"Adjustment Fee","Adjustment Fee"
"Grand Total","합계"
"Return to Order Management","Return to Order Management"
"Purchase Point","구매 포인트"
"Cancel","취소"
"Hold","Hold"
"Unhold","Unhold"
"Print Invoices","청구서 인쇄"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Print Credit Memos"
"Print All","Print All"
"Print Shipping Labels","Print Shipping Labels"
"Remove to Archive","Remove to Archive"
"ID","ID"
"Purchase Date","구매 일자"
"Ship-to Name","배송 받는 분 이름"
"Grand Total (Base)","Grand Total (Base)"
"Grand Total (Purchased)","Grand Total (Purchased)"
"Customer Email","Customer Email"
"Shipping and Handling","배송료"
"Total Refunded","Total Refunded"
"PDF Invoices","PDF 청구서"
"Invoice","청구서"
"Invoice Date","청구 날짜"
"Order #","주문번호"
"Amount","금액"
"PDF Shipments","PDF Shipments"
"Shipment","Shipment"
"Ship Date","Ship Date"
"Total Quantity","Total Quantity"
"Go to Archive","Go to Archive"
"Page not found.","Page not found."
