"Cart Price Rules","قوانین قیمت سبد خرید"
"Add New Rule","افزودن قانون جدید"
"Delete","حذف"
"Are you sure you want to delete this?","آیا مطمئن هستید می خواهید این را حذف کنید?"
"Reset","بازنشانی"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Save","ذخيره"
"Actions","کنش‌ها"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","تنها قاعده را به سبد کالاهای مربوط به شرایط زیر اعمال کنید (برای همه آیتم ها خالی بگذارید)."
"Apply To","اعمال برای"
"Conditions","شرایط"
"Apply the rule only if the following conditions are met (leave blank for all products).","این قانون فقط در صورتی اعمال می شود که شرایط زیر کامل شود (برای تمام محصولات خالی بگذارید)."
"Manage Coupon Codes","مدیریت کدهای کوپن"
"Coupon Qty","تعداد كوپن"
"Code Length","طول کد"
"Excluding prefix, suffix and separators.","به استثنای پیشوند, پسوند و جدا."
"Code Format","فرمت کد"
"Code Prefix","پیشوند کد"
"Code Suffix","پسوند کد"
"Dash Every X Characters","فاصله هر کاراکتر X"
"If empty no separation.","اگر خالی باشد جدا نمی شود."
"Generate","تولید"
"Coupon Code","کد کوپن"
"Created","ايجاد شد"
"Uses","Uses"
"No","خیر"
"Yes","بله"
"Times Used","بار استفاده شده است"
"CSV","CSV"
"Excel XML","اکسل XML"
"Are you sure you want to delete the selected coupon(s)?","آيا شما مطمئن هستيد كه مي خواهيد كوپن را حذف كنيد؟"
"Labels","برچسب‌ها"
"Store View Specific Labels","برچسب‌های خاص نمای فروشگاه"
"ID","شناسه"
"Rule","قانون"
"Start","شروع"
"End","پایان"
"Status","وضعيت"
"%1 - Discounts and Coupons","%1 - تخفیف و کوپن"
"Coupons/Discounts","کوپن‌ها/تخفیف‌ها"
"Promotions","تبلیغات"
"You deleted the rule.","شما قانون را حذف کردید."
"We can't delete the rule right now. Please review the log and try again.","ما اکنون نمی توانیم قانون را حذف کنیم. لطفا ثبت نام کنید و دوباره امتحان کنید."
"We can't find a rule to delete.","ما نمی توانیم یک ویژگی را برای حذف پیدا کنیم."
"This rule no longer exists.","این قانون دیگر وجود ندارد."
"Edit Rule","ویرایش قانون"
"New Rule","قانون جدید"
"New Cart Price Rule","قانون قيمت سبد خرید جدید"
"Rule is not defined","قانون تعریف نشده است"
"%1 coupon(s) have been generated.","%1 کوپن (ها) تولید شده است."
"Invalid data provided","داده های نامعتبر ارائه شده"
"Something went wrong while generating coupons. Please review the log and try again.","در هنگام تولید کوپن چیزی اشتباهی رخ داد. لطفا ثبت نام کنید و دوباره امتحان کنید."
"Catalog","فهرست"
"The wrong rule is specified.","قانون اشتباه مشخص شده است."
"You saved the rule.","شما این قانون را ذخیره کردید."
"Something went wrong while saving the rule data. Please review the error log.","یک خطا در حین ذخیره سازی رخ داد. لطفا گزارش خطا را بازبینی نمایید."
"Alphanumeric","عدد و حروف"
"Alphabetical","حروف"
"Numeric","عددی"
"We cannot create the requested Coupon Qty. Please check your settings and try again.","ما نمی توانیم تعداد کوپن درخواست شده را ایجاد کنیم. لطفا تنظیمات خود را بررسی کنید و دوباره امتحان کنید."
"Specified rule does not allow coupons","قانون مشخص شده کوپن ها را مجاز نمی کند"
"Specified rule only allows auto generated coupons","قانون مشخص فقط به کوپن های تولید شده خودکار اجازه می دهد"
"Specified rule does not allow auto generated coupons","قانون مشخص شده اجازه کوپنهای خودکار را نمیدهد"
"Error occurred when saving coupon: %1","هنگام ذخیره کوپن:%1 خطایی رخ داد"
"Discount (%1)","تخفیف (%1)"
"Discount","تخفيف"
"Coupon with the same code","کوپن با کد"
"No Coupon","بدون کوپن"
"Specific Coupon","کوپن خاص"
"Auto","خودکار"
"Can't acquire coupon.","کوپن را نمی توان دریافت کرد."
"Update the Product","به روز رسانی محصول"
"Special Price","قیمت ویژه"
"To Fixed Value","به مقدار ثابت"
"To Percentage","به درصدی"
"By Fixed value","با مقدار ثابت"
"By Percentage","با درصدی"
"Update product's %1 %2: %3","به روز رسانی محصول %1 %2: %3"
"Subtotal","جمع جز"
"Total Items Quantity","تعداد کل آیتم‌ها"
"Total Weight","مجموع وزن"
"Shipping Method","روش ارسال"
"Shipping Postcode","کد پستی ارسال"
"Shipping Region","منطقه ارسال"
"Shipping State/Province","شهرستان/استان ارسال"
"Shipping Country","کشور ارسال"
"Product attribute combination","ترکیب ویژگی محصول"
"Products subselection","زیر انتخاب محصولات"
"Conditions combination","ترکیب شرط‌ها"
"Cart Attribute","ویژگی سبد"
"Quantity in cart","تعداد در سبد"
"Price in cart","قیمت در سبد"
"Row total in cart","جمع سطر در سبد"
"Conditions Combination","ترکیب شرط‌ها"
"Cart Item Attribute","ویژگی آیتم سبد"
"Product Attribute","ویژگی محصول"
"FOUND","ساختن"
"NOT FOUND","یافت نشد"
"If an item is %1 in the cart with %2 of these conditions true:","اگر مورد %1 در سبد خرید با %2 از این شرایط درست باشد:"
"total quantity","مقدار کل""Add Recipient"
"total amount","مقدار کل"
"is","هست"
"is not","نیست"
"equals or greater than","برابر یا بزرگ‌تر از"
"equals or less than","برابر یا کم‌تر از"
"greater than","بزرگ‌تر از"
"less than","کمتر از"
"is one of","هست یکی از"
"is not one of","نیست یکی از"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","اگر%1 %2 %3 برای زیر مجموعه ای از موارد در سبد خرید مطابق با %4 از این شرایط:"
"Percent of product price discount","تخفیف درصد قیمت محصول"
"Fixed amount discount","تخفیف مبلغ ثابت"
"Fixed amount discount for whole cart","تخفیف مبلغ ثابت برای کل کارت"
"Buy X get Y free (discount amount is Y)","خرید X تا دریافت Y تا رایگان (مبلغ تخفیف Y است)"
"Active","فعال"
"Inactive","غیرفعال"
"Specified rule does not allow automatic coupon generation","قانون مشخص شده اجازه تولید کوپن اتوماتیک را نمی دهد"
"Error occurred when generating coupons: %1","هنگام ایجاد کوپن:%1 خطایی رخ داده"
"Some coupons are invalid.","برخی از کوپن ها نامعتبر هستند."
