"Cart Price Rules","כללי סל קניות"
"Add New Rule","הוסף כלל חדש"
"Delete","מחק"
"Are you sure you want to delete this?","האם אתה בטוח שברצונך למחוק את זה?"
"Reset","איפוס"
"Save and Continue Edit","שמור והמשך בעריכה"
"Save","שמור"
"Actions","פעולות"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","החל את החוק רק עבור פריטים תואמים מהעגלה לפי התנאים הבאים (השאר ריק עבור כל הפריטים)."
"Apply To","החל ל"
"Conditions","תנאים"
"Apply the rule only if the following conditions are met (leave blank for all products).","החל את החוק רק אם התנאים הנ""ל מתקיימים ( השאר ריק לכל המוצרים)."
"Manage Coupon Codes","ניהול קודי קופון"
"Coupon Qty","כמות קופון"
"Code Length","אורך קוד"
"Excluding prefix, suffix and separators.","Excluding prefix, suffix and separators."
"Code Format","פורמט קוד"
"Code Prefix","קידומת קוד"
"Code Suffix","סיומת קוד"
"Dash Every X Characters","Dash Every X Characters"
"If empty no separation.","במידה וריק ללא הפרדה."
"Generate","יצירה"
"Coupon Code","קוד קופון"
"Created","נוצר"
"Uses","Uses"
"No","לא"
"Yes","כן"
"Times Used","מספר שימושים"
"CSV","CSV"
"Excel XML","Excel XML"
"Are you sure you want to delete the selected coupon(s)?","האם אתה בטוח שברצונך למחוק את הקופונים שנבחרו?"
"Labels","תויות"
"Store View Specific Labels","Store View Specific Labels"
"ID","מזהה"
"Rule","כלל"
"Start","התחלה"
"End","סיום"
"Status","סטטוס"
"%1 - Discounts and Coupons","%1 - הנחות וקופונים"
"Coupons/Discounts","קופונים/הנחות"
"Promotions","מבצעים"
"You deleted the rule.","מחקת את החוק."
"We can't delete the rule right now. Please review the log and try again.","אנו לא יכולים למחוק את הכלל. יש לבדוק את הלוג ולנסות שוב."
"We can't find a rule to delete.","אנו לא יכולים למצוא כלל לשם מחיקתו."
"This rule no longer exists.","הכלל לא קיים יותר."
"Edit Rule","ערוך כלל"
"New Rule","כלל חדש"
"New Cart Price Rule","New Cart Price Rule"
"Rule is not defined","כלל לא מוגדר"
"%1 coupon(s) have been generated.","%1 coupon(s) have been generated."
"Invalid data provided","Invalid data provided"
