"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Terjadi kesalahan saat memproses; kupon dengan tanggal kadaluarsa id %1 tidak diperbarui. pesan kesalahannya: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Update terbaru dalam kisaran waktu ini sudah ada. Pilih kisaran waktu yang lain untuk menambah update terbaru."
"ID","Nomor"
"Rule","Aturan"
"Coupon Code","Kode Kupon"
"Priority","Prioritas"
"Status","Keadaan"
"Active","Aktif"
"Inactive","Tidak aktif"
"Web Site","Situs Web"
"Action","Tindakan"
"Edit","Ubah"
"Scheduled Changes","Jadwal berubah"
"Name","Nama"
"Description","Deskripsi"
"Update Information","Informasi Update"
"Update Name","Nama Pembaruan"
"Start Date","Mulai tanggal"
"End Date","Tanggal Akhir"
"Rule Information","Peraturan Informasi"
"Websites","Situs Web"
"Customer Groups","Grup pelanggan"
"Public In RSS Feed","Umum Di RSS Feed"
"Conditions","Kondisi"
"Actions","Tindakan"
"Apply","Terapkan"
"Discount Amount","Jumlah Diskon"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Terapkan untuk Jumlah Pengiriman"
"Discard subsequent rules","Buang peraturan selanjutnya"
"Labels","Lebel"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Save as a New Update","Simpan sebagai Update baru"
"Move to Another Update","Pindahkan ke Update yang Lain"
"Delete the Update","Hapus pembaruan"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","Aturan harga keranjang akan dihapus dari pembaruan dan semua perubahan terjadwal akan hilang."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Waktu mulai"
"End Time","Akhir Waktu"
"Cart Price Rules","Aturan harga keranjang"
"Remove Cart Price Rule from Campaign","Remove Cart Price Rule from Campaign"
"Move to Another Campaign","Move to Another Campaign"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
