"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Se ha producido un error durante el proceso. El cupón con ID %1 no tenía la fecha de expiración actualizada. El mensaje de error era: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Ya existe una futura actualización en este intervalo de tiempo. Seleccione un rango diferente para agregar una nueva actualización en el futuro."
"ID","Número de Identificación (ID)"
"Rule","Regla"
"Coupon Code","Código de cupón"
"Priority","Prioridad"
"Status","Estatus"
"Active","Activo"
"Inactive","Inactivo"
"Web Site","Sitio web"
"Action","Acción"
"Edit","Editar"
"Scheduled Changes","Cambios programados"
"Name","Nombre"
"Description","Descripción"
"Update Information","Actualizar información"
"Update Name","Actualizar nombre"
"Start Date","Fecha de inicio"
"End Date","Fecha de fin"
"Rule Information","Información sobre la regla"
"Websites","Sitios web"
"Customer Groups","Grupos de cliente"
"Public In RSS Feed","Publicar feed RSS"
"Conditions","Condiciones"
"Actions","Acciones"
"Apply","Aplicar"
"Discount Amount","Monto de descuento"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Discard subsequent rules","Deseche las reglas subsecuentes"
"Labels","Etiquetas"
"Default Rule Label for All Store Views","Etiqueta normativa para todas las vistas de tienda (predeterminada)"
"Save as a New Update","Guardar como una nueva actualización"
"Move to Another Update","Mover a otra actualización"
"Delete the Update","Eliminar la actualización"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","La regla de precio del carrito de compras se eliminará de la actualización y todos los cambios programados se perderán."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Hora de inicio"
"End Time","Hora de finalización"
"Cart Price Rules","Regla de precio para el carrito de compras"
"Remove Cart Price Rule from Campaign","Quitar regla de precio de carrito de la campaña"
"Move to Another Campaign","Mover a otra campaña"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Eliminar la actualización eliminará la la regla de precio de carrito de esta campaña y se perderán todos los cambios programados."
"Future Update already exists in this time range. Set a different range and try again.","La actualización futura ya existe en este intervalo de tiempo. Establece un intervalo diferente y vuelve a intentarlo."
