"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2"
"Future Update in this time range already exists. Select a different range to add a new Future Update.","Future Update in this time range already exists. Select a different range to add a new Future Update."
"ID","ID"
"Rule","Pravidlo"
"Coupon Code","Coupon Code"
"Priority","Priorita"
"Status","Stav"
"Active","Aktívny"
"Inactive","Neaktívny"
"Web Site","Webstránka"
"Action","Akcia"
"Edit","Upraviť"
"Scheduled Changes","Scheduled Changes"
"Name","Meno"
"Description","Popis"
"Update Information","Update Information"
"Update Name","Update Name"
"Start Date","Dátum začiatku"
"End Date","Dátum ukončenia"
"Rule Information","Rule Information"
"Websites","Webové stránky"
"Customer Groups","Zákaznicke skupiny"
"Public In RSS Feed","Public In RSS Feed"
"Conditions","Podmienky"
"Actions","Akcie"
"Apply","Použiť"
"Discount Amount","Hodnota zľavy"
"Maximum Qty Discount is Applied To","Maximum Qty Discount is Applied To"
"Discount Qty Step (Buy X)","Discount Qty Step (Buy X)"
"Apply to Shipping Amount","Apply to Shipping Amount"
"Discard subsequent rules","Zrušiť naväzujúce pravidlá"
"Labels","Labels"
"Default Rule Label for All Store Views","Default Rule Label for All Store Views"
"Save as a New Update","Save as a New Update"
"Move to Another Update","Move to Another Update"
"Delete the Update","Delete the Update"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","The cart price rule will be removed from the update and all scheduled changes will be lost."
"200","200"
"100","100"
"50","50"
"30","30"
"20","20"
"Start Time","Čas začiatku"
"End Time","End Time"
"Cart Price Rules","Cenové pravidlá košíka"
"Remove Cart Price Rule from Campaign","Remove Cart Price Rule from Campaign"
"Move to Another Campaign","Move to Another Campaign"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
