"Advanced Inventory","Avanceret lager"
"Manage Stock","Administrer lager"
"Yes","Ja"
"No","Nej"
"Use Config Settings","Brug Konfigurationsindstillinger"
"[GLOBAL]","[GLOBAL]"
"Qty","Antal"
"Out-of-Stock Threshold","Ikke på lager grænsværdi"
"Minimum Qty Allowed in Shopping Cart","Minimum antal tilladt i indkøbskurv"
"Maximum Qty Allowed in Shopping Cart","Maksimalt antal tilladt i indkøbskurv"
"Qty Uses Decimals","Antal bruger decimaler"
"Allow Multiple Boxes for Shipping","Tillad flere kasser til forsendelse"
"Backorders","Restordrer"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Advisér for mængde under"
"Enable Qty Increments","Aktiver antal intervaller"
"Qty Increments","Antal intervaller"
"Stock Availability","Lagerbeholdningen"
"Use Deferred Stock Update","Bruge udskudt lageropdatering"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
