"Advanced Inventory","Erweitertes Inventar"
"Manage Stock","Lagerbestand verwalten"
"Yes","Ja"
"No","Nein"
"Use Config Settings","Konfigurationseinstellungen verwenden"
"[GLOBAL]","[GLOBAL]"
"Qty","Menge"
"Out-of-Stock Threshold","Nicht auf Lager Schwellenwert"
"Minimum Qty Allowed in Shopping Cart","Minimal erlaubte Menge im Warenkorb"
"Maximum Qty Allowed in Shopping Cart","Maximal erlaubte Menge im Warenkorb"
"Qty Uses Decimals","Menge verwendet Dezimalzahlen"
"Allow Multiple Boxes for Shipping","Versand in mehreren Lieferungen zulassen"
"Backorders","Rückstand"
"Use deferred Stock update","Verzögerte Lageraktualisierung verwenden"
"Notify for Quantity Below","Benachrichtigung bei Menge unter"
"Enable Qty Increments","Mengenerhöhungen aktivieren"
"Qty Increments","Anzahl erhöhen"
"Stock Availability","Lagerverfügbarkeit"
"Use Deferred Stock Update","Zurückgestellte Lager-Aktualisierung verwenden"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
