"Advanced Inventory","Paplašināta noliktava"
"Manage Stock","Pārvaldīt noliktavu"
"Yes","Jā"
"No","Nē"
"Use Config Settings","Lietot konfigurācijas iestatījumus"
"[GLOBAL]","[GLOBĀLI]"
"Qty","Skaits"
"Out-of-Stock Threshold","Nav noliktavā slieksnis"
"Minimum Qty Allowed in Shopping Cart","Minimālais atļautais daudzums grozā"
"Maximum Qty Allowed in Shopping Cart","Maksimālais atļautais daudzums grozā"
"Qty Uses Decimals","Skaitam lieto decimāldaļas"
"Allow Multiple Boxes for Shipping","Atļaut vairākas kastes piegādei"
"Backorders","Iepriekšpasūtījums"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Paziņot ja mazāk par"
"Enable Qty Increments","Ieslēgt skaita pieaugumu"
"Qty Increments","Skaita pieaugums"
"Stock Availability","Noliktavas pieejamība"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
