"Advanced Inventory","進階庫存"
"Manage Stock","Manage Stock"
"Yes","是"
"No","否"
"Use Config Settings","使用配置設置"
"[GLOBAL]","[GLOBAL]"
"Qty","數量"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
"Allow Multiple Boxes for Shipping","允許多個貨品同時運送"
"Backorders","Backorders"
"Use deferred Stock update","Use deferred Stock update"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Stock Availability"
"Use Deferred Stock Update","Use Deferred Stock Update"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
