"Add Scheduled Export","Přidat plánovaný export"
"Add Scheduled Import","Přidat naplánovaný Import"
"Scheduled Import/Export","Naplánovaný Import / Export"
"Please correct the scheduled operation type.","Please correct the scheduled operation type."
"Name","Jméno"
"Description","Popis"
"Entity Type","Typ entit"
"Start Time","Čas zahájení"
"Frequency","Četnost"
"Status","Stav"
"Server Type","Typ serveru"
"File Directory","Adresář"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir"
"FTP Host[:Port]","FTP hostitel [: Port]"
"User Name","Uživatelské jméno"
"Password","Heslo"
"File Mode","File Mode"
"Passive Mode","Pasivní režim"
"Failed Email Receiver","Failed Email Receiver"
"Failed Email Sender","Failed Email Sender"
"Failed Email Template","Failed Email Template"
"Send Failed Email Copy To","Send Failed Email Copy To"
"Send Failed Email Copy Method","Send Failed Email Copy Method"
"Export Settings","Nastavení exportu"
"Export File Information","Export File Information"
"Export Failed Emails","Export Failed Emails"
"File Format","Formát souboru"
"Entity Attributes","Atributy entity"
"Import Settings","Nastavení importu"
"Import File Information","Import File Information"
"Import Failed Emails","Import Failed Emails"
"Import Behavior","Chování importu"
"Field separator","Oddělovač polí"
"Multiple value separator","Oddělovač násobných hodnot"
"On Error","Při chybě"
"File Name","Název souboru"
"Images File Directory","Adresář souborů obrázků"
"Clean Now","Clean Now"
"Scheduled Imports/Exports","Scheduled Imports/Exports"
"The operation ran.","The operation ran."
"We can't run the operation right now, see error log for details.","Operaci momentálně nelze spustit, podrobnosti naleznete v protokolu chyb."
"We can't delete the scheduled operation right now.","Naplánovanou operaci momentálně nelze odstranit."
"No valid data sent","No valid data sent"
"You deleted the history files.","You deleted the history files."
"We can't delete the history files right now.","Historii souborů momentálně nelze odstranit."
"A total of %1 record(s) have been updated.","Bylo upraveno celkem %1 záznam(ů)."
"We cannot change status for all items.","We cannot change status for all items."
"You deleted a total of %1 record(s).","You deleted a total of %1 record(s)."
"We can't delete all the items right now.","Všechny položky momentálně nelze odstranit."
"We can't save the scheduled operation right now.","Naplánovanou operaci momentálně nelze uložit."
"We can't create directory ""%1""","We can't create directory ""%1"""
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
"Scheduled Import","Naplánovaný Import"
"New Scheduled Import","New Scheduled Import"
"Scheduled Export","Naplánovaný export"
"New Scheduled Export","New Scheduled Export"
"You saved the scheduled import.","You saved the scheduled import."
"You saved the scheduled report.","You saved the scheduled report."
"You deleted the scheduled import.","You deleted the scheduled import."
"You deleted the scheduled export.","You deleted the scheduled export."
"Are you sure you want to delete this scheduled import?","Are you sure you want to delete this scheduled import?"
"Are you sure you want to delete this scheduled export?","Are you sure you want to delete this scheduled export?"
"We were unable to save the cron expression.","We were unable to save the cron expression."
"Unable to delete the cron task.","Nelze odstranit úkol cronu."
"Please correct the cron job task","Please correct the cron job task"
"File has been not created","Soubor nebyl vytvořen"
"Something went wrong and the operation failed.","Something went wrong and the operation failed."
"We can't read the file source because the file name is empty.","Zdrojový soubor nelze číst, protože název souboru je prázdný."
"Connecting to server","Connecting to server"
"Reading import file","Reading import file"
"We can't read the import file.","Soubor importu nelze číst."
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver."
"Save file content","Uložit obsah souboru"
"Please correct the server type.","Please correct the server type."
"Import path %1 not exists","Import path %1 not exists"
"We can't read the file.","Soubor nelze číst."
"We can't save the file history file.","Historii souboru nelze uložit."
"Unknown file format","Unknown file format"
"Enabled","Zapnuto"
"Disabled","Vypnuto"
"Import","Import"
"Export","Export"
"Daily","Denně"
"Weekly","Týdně"
"Monthly","Měsíčně"
"Local Server","Místní server"
"Remote FTP","Vzdálené FTP"
"Binary","Binární"
"ASCII","ASCII"
"Stop Import","Stop Import"
"Continue Processing","Continue Processing"
"Failed","Chyba"
"Successful","Successful"
"Pending","Nevyřízená"
"label","označení"
"Can not open file","Can not open file"
"%store_name - Scheduled Export Failed","%store_name - Scheduled Export Failed"
"%operation_name - Scheduled Export Failed","%operation_name - Scheduled Export Failed"
"Operation name:","Operation name:"
"Entity type:","Typ entity:"
"File history path:","File history path:"
"Date & Time:","Datum a čas:"
"Log trace:","Log trace:"
"Scheduled Import/Export File History Cleanup Warnings","Scheduled Import/Export File History Cleanup Warnings"
"%store_name  - Scheduled Import Failed","%store_name  - Scheduled Import Failed"
"%operation_name - Scheduled Import Failed","%operation_name - Scheduled Import Failed"
"Scheduled Import/Export File History Cleaning","Scheduled Import/Export File History Cleaning"
"Save Files, Days","Save Files, Days"
"Enable Scheduled File History Cleaning","Enable Scheduled File History Cleaning"
"Error Email Recipient","Příjemce chybového e-mailu"
"Error Email Sender","Odesílatel chybového e-mailu"
"Error Email Template","Šablona chybového e-mailu"
"Delete","Smazat"
"Are you sure you want to delete the selected scheduled imports/exports?","Are you sure you want to delete the selected scheduled imports/exports?"
"Change Status","Změnit stav"
"Operation","Operace"
"Last Run","Last Run"
"Last Outcome","Last Outcome"
"Action","Akce"
"Edit","Upravit"
"Run","Spustit"
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
