"Add Scheduled Export","Προσθέστε Προγραμματισμένη Εξαγωγή"
"Add Scheduled Import","Προσθέστε Προγραμματισμένη Εισαγωγή"
"Scheduled Import/Export","Προγραμματισμένη Εισαγωγή/Εξαγωγή"
"Please correct the scheduled operation type.","Διορθώστε τον τύπο της προγραμματισμένης επέμβασης."
"Name","Όνομα"
"Description","Περιγραφή"
"Entity Type","Τύπος Οντότητας"
"Start Time","Ώρα Έναρξης"
"Frequency","Συχνότητα"
"Status","Κατάσταση"
"Server Type","Τύπος Διακομιστή"
"File Directory","Κατάλογος αρχείων"
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","Για τον τύπο ""Τοπικού διακομιστή"" χρησιμοποιείστε σχετική διαδρομή σε εγκατάσταση Magento, π.χ. η var/export, η var/import, η var/export/καποιος/φάκελος"
"FTP Host[:Port]","Κεντρικός υπολογιστής FTP Host[:Port]"
"User Name","Όνομα χρήστη"
"Password","Κωδικός πρόσβασης"
"File Mode","Λειτουργία αρχείου"
"Passive Mode","Παθητική λειτουργία"
"Failed Email Receiver","Παραλήπτης Αποτυχημένου Email"
"Failed Email Sender","Αποστολέας Αποτυχημένου Email"
"Failed Email Template","Πρότυπο Αποτυχημένου Email"
"Send Failed Email Copy To","Αποστολή του Email Αποτυχίας Αντιγράφου σε"
"Send Failed Email Copy Method","Μέθοδος αποστολής του αντιγράφου Email Αποτυχίας"
"Export Settings","Ρυθμίσεις Εξαγωγής"
"Export File Information","Πληροφορίες αρχείου εξαγωγής"
"Export Failed Emails","Emails Αποτυχημένης Εξαγωγής"
"File Format","Μορφή αρχείου"
"Entity Attributes","Χαρακτηριστικά Οντότητας"
"Import Settings","Ρυθμίσεις Εισαγωγής"
"Import File Information","Πληροφορίες αρχείου εισαγωγής"
"Import Failed Emails","Emails Αποτυχημένης Εισαγωγής"
"Import Behavior","Εισαγωγή συμπεριφοράς"
"Field separator","Διαχωριστικό πεδίου"
"Multiple value separator","Διαχωριστικό Πολλαπλών Τιμών"
"On Error","Σχετικά με το σφάλμα"
"File Name","Όνομα αρχείου"
"Images File Directory","Κατάλογος Αρχείου Εικόνων"
"Clean Now","Καθαρίστε τώρα"
"Scheduled Imports/Exports","Προγραμματισμένες εισαγωγές/εξαγωγές"
"The operation ran.","Η επιχείρηση έτρεξε."
"We can't run the operation right now, see error log for details.","Δεν μπορούμε να εκτελέσουμε τη λειτουργία αυτή τη στιγμή, δείτε το αρχείο καταγραφής σφαλμάτων για λεπτομέρειες."
"We can't delete the scheduled operation right now.","Δεν μπορούμε να διαγράψουμε την προγραμματισμένη λειτουργία αυτή τη στιγμή."
"No valid data sent","Μη έγκυρα δεδομένα αποστάλθηκαν"
"You deleted the history files.","Διαγράψατε τα αρχεία ιστορικού."
"We can't delete the history files right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε τα αρχεία ιστορικού."
"A total of %1 record(s) have been updated.","Συνολικά %1 εγγραφή(ές) έχουν ενημερωθεί."
"We cannot change status for all items.","Δεν μπορούμε να αλλάξουμε την κατάσταση για όλα τα στοιχεία."
"You deleted a total of %1 record(s).","Διαγράψατε συνολικά %1 εγγραφή(ες)."
"We can't delete all the items right now.","Αυτή τη στιγμή δεν μπορούμε να διαγράψουμε όλα τα στοιχεία."
"We can't save the scheduled operation right now.","Δεν μπορούμε να αποθηκεύσουμε την προγραμματισμένη λειτουργία αυτή τη στιγμή."
