"Search Term","Search Term"
"Results","Результати"
"Uses","Використовує"
"Search Terms","Пошукові фрази"
"Search Synonyms","Пошук синонімів"
"New Synonym Group","New Synonym Group"
"Back","Назад"
"Delete Synonym Group","Delete Synonym Group"
"Are you sure you want to delete this synonym group?","Are you sure you want to delete this synonym group?"
"Reset","Очистити"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Save Synonym Group","Save Synonym Group"
"Search","Пошук"
"Add New Search Term","Додати новий пошуковий вираз"
"Save Search","Save Search"
"Delete Search","Delete Search"
"Edit Search '%1'","Edit Search '%1'"
"New Search","New Search"
"Search Information","Search Information"
"General Information","Загальна інформація"
"No","Ні"
"Yes","Так"
"Search Query","Пошуковий запит"
"Store","Магазин"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"For the last time placed.","For the last time placed."
"Number of Uses","Number of Uses"
"Redirect URL","URL перенаправлення"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Display in Suggested Terms"
"The synonym group has been deleted.","The synonym group has been deleted."
"An error was encountered while performing delete operation.","An error was encountered while performing delete operation."
"We can't find a synonym group to delete.","We can't find a synonym group to delete."
"This synonyms group no longer exists.","This synonyms group no longer exists."
"Edit Synonym Group","Edit Synonym Group"
"Synonym Group","Synonym Group"
"Failed to delete %1 synonym group(s).","Failed to delete %1 synonym group(s)."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
"Marketing","Маркетинг"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used."
"This synonym group no longer exists.","This synonym group no longer exists."
"You saved the synonym group.","You saved the synonym group."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","This search no longer exists."
"Edit Search","Edit Search"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","Звіти"
"Search Terms Report","Звіт по пошуковим фразам"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1"
"All Websites","Всі Веб-сайти"
"    All Store Views","    All Store Views"
"All Store Views","Усі Види Магазинів"
"Delete","Видалити"
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?"
"View/Edit","View/Edit"
"Search entire store here...","Шукайте тут..."
"There are no search terms available.","Немає доступних пошукових запитів."
"Search Engine","Пошукова система"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Ідентифікатор"
"Hits","Hits"
"Are you sure?","Ви впевнені?"
"Suggested Terms","Suggested Terms"
"yes","yes"
"no","no"
"Action","Дія"
"Edit","Редагувати"
"You can adjust the scope of this synonym group by selecting an option from the list.","You can adjust the scope of this synonym group by selecting an option from the list."
"Scope","Область використання"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Список синонімів, розділених комами. Введені фрази (розділені комами) будуть використовуватися як пошуковий запит ""АБО"" для пошуку у вашому магазині. Наприклад, якщо ви вводите ""черевики, взуття"", а користувач буде шукати ""черевики"", результати пошуку включатимуть будь-який продукт або вміст із терміном ""черевики"" або ""взуття""."
"Synonyms","Synonyms"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms."
"Store View","Вид Магазину"
"Website","Веб-сайт"
"Are you sure you want to delete the selected synonym groups?","Are you sure you want to delete the selected synonym groups?"
"Delete items","Видалити елементи"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
