"modal_title_text","modal_title_text"
"Account Activity","Activité du compte"
"All other open sessions for this account were terminated.","Toutes les autres sessions pour ce compte seront terminées."
"We couldn't logout because of an error.","Impossible de vous déconnecter à cause d'une erreur."
"Someone logged into this account from another device or browser. Your current session is terminated.","Quelqu'un d'autre s'est connecté avec ce compte sur un autre appareil ou navigateur. Cette sessions se termine."
"Your current session is terminated by another user of this account.","Votre session en cours se termine par l'intervention d'un autre utilisateur de ce compte."
"Your account is temporarily disabled. Please try again later.","Votre compte est temporairement désactivé. Veuillez réessayer plus tard."
"Your current session has been expired.","Votre session a expiré."
"By IP and Email","Par IP et Email"
"By IP","Par IP"
"By Email","Par email"
"None","Aucun"
"Expiration Date","Date d'expiration"
"We received too many requests for password resets. Please wait and try again later or contact %1.","Nous avons reçu trop de demandes de réinitialisation de mot de passe. Veuillez patienter et réessayer plus tard ou contacter %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Classe de sécurité Checker incorrect. Il a mis en œuvre SecurityCheckerInterface"
"""%1"" must be later than the current date.","""%1"" doit être supérieur à la date courante."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","La connexion au compte est incorrecte ou votre compte est temporairement désactivé. Veuillez patienter et réessayer plus tard."
"some error","une erreur"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Ce compte administrateur est ouvert dans plusieurs emplacements. Notez que les autres endroits peuvent être différents navigateurs ou des sessions sur le même ordinateur."
"Concurrent session information:","Informations de session simultanées :"
"IP Address","Adresse IP"
"Time of session start","Heure de début de session"
"Are you sure that you want to log out all other sessions?","Êtes-vous sûr que vous voulez déconnecter toutes les autres sessions ?"
"Log out all other sessions","Déconnectez-vous de toutes les autres sessions"
"This computer is using IP address %1.","Cet ordinateur utilise l'adresse IP %1."
"Warning","Warning"
": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?",": You are about to set max session size in admin to be lower than recommended default session size. Low max session size in admin could break admin functionalities such as admin panel login. Are you sure you want to make this change?"
": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?",": You are about to set max session size in storefront to be lower than  recommended default session size. Low max session size in storefront could break storefront functionalities such as customer login. Are you sure you want to make this change?"
"No","No"
"Yes","Yes"
"Admin Account Sharing","Partage de Compte admin"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Si défini sur Oui, vous pouvez vous connecter à partir de plusieurs ordinateurs pour le même compte. Paramètre Non par défaut améliore la sécurité."
"Password Reset Protection Type","Type de Protection pour la réinitialisation de mot de passe"
"Max Number of Password Reset Requests","Nombre max de requêtes de réinitialisation de mot de passe"
"Limit the number of password reset request per hour. Use 0 to disable.","Limiter le nombre de demande de réinitialisation de mot de passe par heure. Utilisez 0 pour désactiver."
"Min Time Between Password Reset Requests","Temps minimum entre les requêtes de réinitialisation de mot de passe"
"Delay in minutes between password reset requests. Use 0 to disable.","Délai en minutes entre les requêtes de réinitialisation de mot de passe. Utilisez 0 pour désactiver."
"Security","Security"
"Max Session Size in Admin","Max Session Size in Admin"
"Max Session Size in Storefront","Max Session Size in Storefront"
