"Page not found.","لم يتم العثور على الصفحة."
"You can't send messages more than %1 times an hour.","لا يمكنك إرسال رسائل أكثر من %1 مرة في الساعة."
"The link to a friend was sent.","تم إرسال الرابط لصديق."
"We found some problems with the data.","وجدنا بعض المشاكل مع البيانات."
"Some emails were not sent.","لم ترسل بعض رسائل البريد الإلكتروني."
"You've met your limit of %1 sends in an hour.","قد وصلت الحد الخاص بك لإرسال %1 في ساعة واحدة."
"Please enter a sender name.","يرجى ادخال اسم الراسل."
"Invalid Sender Email","بريد الراسل غير صحيح"
"Please enter a message.","الرجاء إدخال رسالة."
"Please specify at least one recipient.","الرجاء تحديد مستلم واحد على الأقل."
"Please enter a correct recipient email address.","الرجاء إدخال عنوان بريد إلكتروني صحيح."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","الرجاء تعريف مثيل صحيح للمنتج."
"Invalid Sender Information","معلومات المرسل غير صالحة"
"Please define the correct sender information.","الرجاء تحديد معلومات المرسل الصحيحة."
"IP Address","عنوان الملكية الفكرية"
"Cookie (unsafe)","ملف تعريف الارتباط (غير أمن)"
"No Product Exception.","No Product Exception."
"No Category Exception.","No Category Exception."
"Some error","Some error"
"Localized Exception.","Localized Exception."
"Exception.","Exception."
"Remove Recipent","Remove Recipent"
"Remove","ازالة"
"Name","اسم"
"Email","البريد الإلكتروني"
"* Required Fields","* حقول مطلوبة"
"Sender","المرسل"
"Message","رسالة"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","الحد الاقصى %1 السماح لعنوان البريد الالكتروني."
"Add Invitee","Add Invitee"
"Send Email","Send Email"
"Back","رجوع"
"Welcome, %name","Welcome, %name"
"%name,","%name،"
"%sender_name wants to share this product with you:","%sender_name wants to share this product with you:"
"Message from %sender_name:","Message from %sender_name:"
"Email to a Friend","ارسال الى صديق"
"Email Templates","قوالب البريد الإلكتروني"
"Enabled","تفعيل"
"Select Email Template","Select Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","اختيار قالب البريد الإلكتروني استناداً إلى الثيم عند تحديد الخيار ""الإفتراضي""."
"Allow for Guests","السماح للزوار"
"Max Recipients","اقصى عدد للمستقبلين"
"Max Products Sent in 1 Hour","اقصى عدد للمنتجات يمكن ارسالة بالساعة"
"Limit Sending By","حدد الارسال بـ"
