"Page not found.","Siden finnes ikke."
"You can't send messages more than %1 times an hour.","Du kan ikke sende meldinger mer enn %1 ganger i timen."
"The link to a friend was sent.","Koblingen til en venn ble sendt."
"We found some problems with the data.","Vi fant noen problemer med dataene."
"Some emails were not sent.","Noen e-poster ble ikke sendt."
"Incorrect CAPTCHA","Incorrect CAPTCHA"
"You've met your limit of %1 sends in an hour.","You've met your limit of %1 sends in an hour."
"Please enter a sender name.","Vennligst angi et avsender navn."
"Invalid Sender Email","Ugyldig sender epost"
"Please enter a message.","Skriv inn en melding."
"Please specify at least one recipient.","Please specify at least one recipient."
"Please enter a correct recipient email address.","Please enter a correct recipient email address."
"No more than %1 emails can be sent at a time.","No more than %1 emails can be sent at a time."
"Please define a correct product instance.","Please define a correct product instance."
"Invalid Sender Information","Invalid Sender Information"
"Please define the correct sender information.","Please define the correct sender information."
"IP Address","IP-adresse"
"Cookie (unsafe)","Informasjonskapsel (usikker)"
"Remove Recipent","Remove Recipent"
"Remove","Fjern"
"Name","Navn"
"Email","E-post"
"* Required Fields","* Nødvendige felt"
"Sender","Avsender"
"Message","Beskjed"
"Invitee","Invitee"
"Maximum %1 email addresses allowed.","Maksimal %1 e-postadresser tillatt."
"Add Invitee","Add Invitee"
"Send Email","Send e-post"
"Back","Tilbake"
"Welcome, %name","Welcome, %name"
"%name,","%name,"
"%sender_name wants to share this product with you:","%sender_name ønsker å dele dette produktet med deg:"
"Email to a Friend","Email to a Friend"
"Email Templates","E-post maler"
"Enabled","Aktivert"
"We strongly recommend to enable a <a href=""https://devdocs.magento.com/guides/v2.4/security/google-recaptcha.html"" target=""_blank"">CAPTCHA solution</a> alongside enabling ""Email to a Friend"" to ensure abuse of this feature does not occur.","We strongly recommend to enable a <a href=""https://devdocs.magento.com/guides/v2.4/security/google-recaptcha.html"" target=""_blank"">CAPTCHA solution</a> alongside enabling ""Email to a Friend"" to ensure abuse of this feature does not occur."
"Select Email Template","Velg e-post-mal"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-postmal valgt basert på tema fallback når ""Default"" alternativet er valgt."
"Allow for Guests","Allow for Guests"
"Max Recipients","Max mottakere"
"Max Products Sent in 1 Hour","Max Products Sent in 1 Hour"
"Limit Sending By","Limit Sending By"
