"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Catalog Structure","Catalog Structure"
"Catalog Id","Catalog Id"
"Store Id","ಮಳಿಗೆ Id"
"Cancel","ರದ್ದುಪಡಿಸಿ"
"Done","ಮುಗಿದಿದೆ"
"Back","ಹಿಂದೆ"
"Delete","ಅಳಿಸಿ"
"This action cannot be undone. Are you sure you want to delete this catalog?","This action cannot be undone. Are you sure you want to delete this catalog?"
"Duplicate","ನಕಲಿಸಿ"
"Linked Products","Linked Products"
"Reset","ಮರುಹೊಂದಿಸಿ"
"Save","ಉಳಿಸಿ"
"Pricing","Pricing"
"Products","ಉತ್ಪನ್ನಗಳು"
"All Stores","ಎಲ್ಲಾ ಮಳಿಗೆಗಳು"
"Shared Catalogs","Shared Catalogs"
"The companies have been reassigned.","The companies have been reassigned."
"Error while reassigning the company.","Error while reassigning the company."
"Discount value cannot be outside the range 0-100","Discount value cannot be outside the range 0-100"
"We found a duplicate website, tier price or quantity.","We found a duplicate website, tier price or quantity."
"The selected items are being processed. You can continue to work in the meantime.","The selected items are being processed. You can continue to work in the meantime."
"The selected changes have been applied to the shared catalog.","The selected changes have been applied to the shared catalog."
"New Shared Catalog","New Shared Catalog"
"The shared catalog was deleted successfully.","The shared catalog was deleted successfully."
"Duplicate of %1","Duplicate of %1"
"You saved the shared catalog.","You saved the shared catalog."
"Something went wrong while saving the shared catalog.","Something went wrong while saving the shared catalog."
"A total of %1 record(s) were deleted.","ಒಟ್ಟು %1 ದಾಖಲೆ(ಗಳು) ಯನ್ನು ಅಳಿಸಲಾಗಿದೆ."
"No shared catalog name is specified in request.","No shared catalog name is specified in request."
"Requested categories don't exist: %categoriesIds.","Requested categories don't exist: %categoriesIds."
"You cannot unassign a company from the public shared catalog.","You cannot unassign a company from the public shared catalog."
"Customer Groups","ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Could not set default customer group","Could not set default customer group"
"A customer group with this name already exists. Enter a different name to create a shared catalog.","A customer group with this name already exists. Enter a different name to create a shared catalog."
"Could not save customer group.","Could not save customer group."
"Could not update shared catalog customer group","Could not update shared catalog customer group"
"No such public catalog entity","No such public catalog entity"
"Cannot load product items for shared catalog","Cannot load product items for shared catalog"
"Could not save ProductItem","Could not save ProductItem"
"Cannot delete product with id %1","%1 ಐಡಿ ಜೊತೆಗಿನ ಉತ್ಪನ್ನವನ್ನು ಅಳಿಸಲಾಗುವುದಿಲ್ಲ"
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"Cannot delete shared catalog with id %1","Cannot delete shared catalog with id %1"
"Permission with the same scope","ಅದೇ ವ್ಯಾಪ್ತಿಯೊಡನೆ ಅನುಮತಿ"
"Assign Categories to Shared Catalog","Assign Categories to Shared Catalog"
"Something went wrong while scheduling operations.","Something went wrong while scheduling operations."
"Sorry, something went wrong during product prices update. Please see log for details.","Sorry, something went wrong during product prices update. Please see log for details."
"Assign custom prices to selected products","Assign custom prices to selected products"
"Something went wrong while processing the request.","ಈ ವಿನಂತಿಯನ್ನು ಸಂಸ್ಕರಿಸುವಲ್ಲಿ ಎನೋ ತೊಂದರೆಯಾಗಿದೆ."
"Could not save shared catalog.","Could not save shared catalog."
"Custom","Custom"
"Public","ಸಾರ್ವಜನಿಕ"
"You must enable category permissions for the following products: %skus.","You must enable category permissions for the following products: %skus."
"Requested product doesn't exist: %sku.","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ: %sku."
"No such shared catalog entity","No such shared catalog entity"
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public."
"Requested Shared Catalog is not found","Requested Shared Catalog is not found"
"Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.","Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog."
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class."
"The maximum allowed catalog name length is %1 characters.","The maximum allowed catalog name length is %1 characters."
"A catalog named %catalogName already exists. Please select a different name.","A catalog named %catalogName already exists. Please select a different name."
"You cannot change the customer group for a shared catalog.","You cannot change the customer group for a shared catalog."
"Yes","ಹೌದು"
"No","ಇಲ್ಲ"
"Configure","ಸಂರಚಿಸಿ"
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Please <a href=""%1"">create</a> at least a public shared catalog to proceed."
"A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.","A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group."
"Requested product doesn't exist: %1.","ವಿನಂತಿಸಿದ ಉತ್ಪನ್ನ ಅಸ್ತಿತ್ವದಲ್ಲಿಲ್ಲ: %1."
"error","ದೋಷ"
"Exception","Exception"
"Exception message","Exception message"
"test","ಪರೀಕ್ಷೆ"
"exception message","exception ಸಂದೇಶ"
"Some internal exception message.","Some internal exception message."
"exception","ವಿನಾಯಿತಿ"
"Exception Message","Exception ಸಂದೇಶ"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"Website 3","ಜಾಲತಾಣ 3"
"Website 1","ಜಾಲತಾಣ 1"
"Set Pricing and Structure","Set Pricing and Structure"
"Assign Companies","Assign Companies"
"General Settings","ಸಾಮಾನ್ಯ ಸಂಯೋಜನೆಗಳು"
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Catalog and Tier Price","Catalog and Tier Price"
"Group or Catalog","Group or Catalog"
