"Approved","Freigegeben"
"Declined","Abgelehnt"
"Pending","Ausstehend"
"Canceled","Storniert"
"In Review","Neue Kundenmeinungen"
"Unrequested","Ungefragt"
"Learn more","Weitere Informationen"
"This order already has associated case entity","Diese Bestellung hat bereits eine assoziierte Großeinheit"
"The case entity should not be empty.","Die Gehäuse darf nicht leer sein."
"Cannot update Case entity.","Konnte Case Entität nicht aktualisieren."
"The ""%1"" should not be empty.","""%1"" darf nicht leer sein."
"Case entity not found.","Fall-Entität nicht gefunden."
"Case Update: New score for the order is %1. Previous score was %2.","Fall-Update: Neuer Punktestand für die Bestellung ist %1. Vorherige Punktzahl war %2."
"Awaiting the Signifyd guarantee disposition.","Warten Sie auf die Signifyd Garantie Disposition."
"Only single entrance of ""%1"" node is required.","Nur ein einziger Eingang des Knotens ""%1"" ist erforderlich."
"Not empty value for ""%1"" node is required.","Kein leerer Wert für den Knoten ""%1"" ist erforderlich."
"%1 must implement %2","%1 muss %2 implementieren"
"Error","Fehler"
"Cannot generate message.","Nachricht kann nicht generiert werden."
"Message is generated.","Nachricht wurde generiert."
"Case with the same order id already exists.","Fall mit der gleichen Bestellnummer existiert bereits."
"Fraud Protection Information","Informationen zur Betrugserkennung"
"Signifyd Guarantee Decision","Signifyd Garantiebeschluss"
"Fraud Protection Section","Abschnitt Betrugserkennung"
"Fraud Protection","Betrugserkennung"
"Protect your store from fraud with Guaranteed Fraud Protection by Signifyd.","Schützen Sie Ihren Shop vor Betrug mit Garantierter Betrugsschutz durch Signifyd."
"Configuration","Konfiguration"
"Enable this Solution","Diese Lösung aktivieren"
"API Key","API-Schlüssel"
"API URL","API-URL"
"Debug","Debuggen"
"Webhook URL","Webhook-URL"
"Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>","Signifyd automatically reviews your orders for fraud, telling you in seconds which orders to ship, and which to reject.
                    We back our approvals with 100% chargeback protection, reimbursing you the full order amount plus fees should you ever receive a fraudulent chargeback.
                    <p>Benefits:<ul>
                    <li>Grow your business without fear of fraud</li>
                    <li>Accept more orders and maximize your revenue</li>
                    <li>Automate order review and shift fraud off your plate</li></ul></p>"
"<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">View our setup guide</a> for step-by-step instructions on how to integrate Signifyd with Magento.<br />For support contact <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>.","<a href=""https://www.signifyd.com/resources/manual/magento-2/signifyd-on-magento-integration-guide/"" target=""_blank"">Sehen Sie sich unsere Setup-Anleitung</a> für Schritt Anweisungen zur Integration von Signifyd mit Magento an.<br />Für Support-Kontakt <a href=""mailto:support@signifyd.com"">support@signifyd.com</a>."
"Your webhook URL will be used to <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">configure</a> a guarantee completed webhook in Signifyd. Webhooks are used to sync Signifyd`s guarantee decisions back to Magento.","Ihre Webhook-URL wird verwendet, um <a href=""https://app.signifyd.com/settings/notifications"" target=""_blank"">zu konfigurieren</a> eine garantierte Webhook in Signifyd. Webhooks werden verwendet, um die Garantiebeschlüsse von Signifyd zurück zu Magento zu synchronisieren."
