"This search no longer exists.","Denne søgning eksisterer ikke længere."
"We were unable to perform the search because of a search engine misconfiguration.","Vi kunne ikke udføre søgningen på grund af en search engine fejlkonfiguration."
"Could not ping search engine: %1","Kunne ikke ping søgemaskine: %1"
"Final commit","Final commit"
"Partial commit","Partial commit"
"Engine autocommit","Engine autocommit"
"Solr Server Hostname","Solr Server Hostname"
"Solr Server Port","Solr Server Port"
"Solr Server Username","Solr Server Username"
"Solr Server Password","Solr Server Password"
"Solr Server Timeout","Solr Server Timeout"
"Solr Server Path","Solr Server Path"
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Indexation Mode","Indexation Mode"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed."
"Test Connection","Test forbindelse"
"button_label","button_label"
"Please fill in Hostname, Port, Path","Please fill in Hostname, Port, Path"
"Something went wrong","Noget gik galt"
"Successful! Test again?","Succes! Test igen?"
"Connection failed! Test again?","Tilslutning mislykkedes! Test igen?"
