"This search no longer exists.","Ez a keresés többé nem létezik."
"We were unable to perform the search because of a search engine misconfiguration.","A keresőmotor hibás beállítása miatt a keresés nem hajtható végre!"
"Could not ping search engine: %1","A keresőmotor pingelése sikertelen: %1"
"Final commit","Final commit"
"Partial commit","Partial commit"
"Engine autocommit","Engine autocommit"
"Solr Server Hostname","Solr szerver hosztneve"
"Solr Server Port","Solr szerver port"
"Solr Server Username","Solr szerver felhasználói név"
"Solr Server Password","Solr szerver jelszó"
"Solr Server Timeout","Solr szerver időtúllépés"
"Solr Server Path","Solr szerver elérési út"
"Without starting and trailing slashes.","Without starting and trailing slashes."
"Indexation Mode","Indexelés módja"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed."
"Test Connection","Kapcsolat tesztelése"
"button_label","button_label"
"Please fill in Hostname, Port, Path","Please fill in Hostname, Port, Path"
"Something went wrong","Valami hiba történt"
"Successful! Test again?","Sikeres! Új teszt?"
"Connection failed! Test again?","A csatlakozás nem sikerült! Újra próbálja?"
