"This search no longer exists.","To wyszukiwanie już nie istnieje."
"We were unable to perform the search because of a search engine misconfiguration.","Nie udało nam się przeprowadzić wyszukiwanie ze względu na błędny silnik wyszukiwania."
"Could not ping search engine: %1","Nie można pingować silniku wyszukiwarki: %1"
"Final commit","Ostateczne zatwierdzanie"
"Partial commit","Częściowe zatwierdzanie"
"Engine autocommit","Automatyczne zatwierdzanie indeksowania przez silnik"
"Solr Server Hostname","Solr serwer hosta"
"Solr Server Port","Solr port serwera"
"Solr Server Username","Solr nazwa użytkownika serwera"
"Solr Server Password","Solr hasło serwera"
"Solr Server Timeout","Solr maksymalny czas połączenia"
"Solr Server Path","Solr ścieżka serwera"
"Without starting and trailing slashes.","Bez początkowych i końcowych ukośników."
"Indexation Mode","Tryb indeksowania"
"Partial commit mode affects time of indexation, but allows indexed products to be visible on Storefront before indexation is completed.","Uwaga: Tryb przyrostowego zatwierdzania wpływa na czas indeksowania, ale pozwala indeksować produkty, które mają być widoczne w widoku sklepu przed zakończeniem indeksacji."
"Test Connection","Przetestuj połączenie"
"button_label","button_label"
"Please fill in Hostname, Port, Path","Proszę wypełnić nazwę hosta, portu, ścieżki"
"Something went wrong","Coś poszło nie tak"
"Successful! Test again?","Sukces! Powtórzyć test?"
"Connection failed! Test again?","Połączenie nie powiodło się! Powtórzyć test?"
