"Cancel","لغو"
"Preview","پيش نمايش"
"Done","انجام شد"
"Remove from Update","حذف از به روز رسانی"
"Save","ذخيره"
"Schedule New Update","برنامه به روز رسانی جدید"
"View Specific Date","مشاهده تاریخ های خاص"
"Date & Time","تاریخ و زمان"
"This update not exists.","این بروز رسانی وجود دارد."
"Content Staging Dashboard","داشبورد مرحله بندی محتوا"
"The Start Time of this Update cannot be changed. It's been already started.","زمان شروع این به روز رسانی را نمی توان تغییر داد. این قبلا شروع شده است."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","به روز رسانی هایی در این محدوده زمانی در حال حاضر وجود دارد. محدوده دیگری را انتخاب کنید تا به روزرسانی جدید اضافه کنید."
"Cannot save Update.","بروزرسانی ذخیره نمیشود."
"Edit Existing Update","ویرایش به روز رسانی موجود"
"Assign to Another Update","اختصاص به یکی دیگر از به روز رسانی"
"Save as a New Update","ذخیره به عنوان به روز رسانی جدید"
"Assign to Existing Update","اختصاص به به روز رسانی موجود"
"You removed this %1 from the update and saved it in the other one.","این %1 را از بروز رسانی حذف کرده اید و آن را در یکی دیگر ذخیره کرده اید."
"%1 is required parameter.","%1 پارامتر مورد نیاز است."
"You removed this %1 from the update.","این %1 را از به روزرسانی حذف کردید."
"You removed this %1 from the update and saved it in a new one.","این %1 را از بروز رسانی حذف کرده اید و آن را در یکی جدید ذخیره کرده اید."
"Invalid action type %1.","نوع عمل %1 نامعتبر می باشد."
"Invalid action.","اقدام غیر معتبر."
"Invalid parameter %1.","%1 پارامتر نامعتبر."
"Something went wrong while removing the %1.","هنگام حذف %1 چیزی اشتباه است."
"The 'mode' value is unexpected.","مقدار 'حالت' غیر منتظره است."
"You saved this %1 update.","این %1 به روزرسانی را ذخیره کردید."
"Something went wrong while saving the %1.","هنگام ذخیره در %1 اشتباهی رخ داده."
"Requested type does not have corresponding implementation","نوع درخواست پیاده سازی مربوطه را ندارد"
"Repository should return instance of %s","مخزن باید نمونه %s را بازگرداند"
"Can not be rescheduled","قابل تنظیم نیست"
"Action class must implement ActionDataProviderInterface","کلاس Action باید اینترفیس Provider Data Action را اجرا کند"
"entity_type","entity_type"
"Delete Update","حذف به روز رسانی"
"View/Edit","نمایش/ویرایش"
"Active","فعال"
"Upcoming","آینده"
"Please select Name for Future Update.","لطفا نام برای به روز رسانی آینده را انتخاب کنید."
"Please select Start Time for Future Update.","لطفا زمان شروع به روز رسانی آینده را انتخاب کنید."
"Future Update Start Time cannot be earlier than current time.","زمان بروز رسانی آینده نمی تواند زودتر از زمان فعلی باشد."
"Future Update End Time cannot be equal or earlier than Start Time.","زمان بروز رسانی آینده نمی تواند برابر یا زودتر از زمان شروع باشد."
"Future Update End Time cannot be earlier than current time.","زمان بروز رسانی آینده نمی تواند زودتر از زمان فعلی باشد."
"Update with id ""%1"" does not exist.","به روز رسانی با شناسه ""%1"" وجود ندارد."
"Active update can not be deleted","بروزرسانی فعال نمی تواند حذف شود"
"Start time could not be changed while update active","زمان شروع نمی تواند در حالی که به روز رسانی فعال است"
"Unable to save Future Update.","ذخیره به روزرسانی آینده امکانپذیر نیست."
"Test","تست"
"Error","خطا"
"Test Exception","تست استثنا"
"This action is unavailable","این عمل در دسترس نیست"
"Magento Admin Panel","پنل مدیریت مجنتو"
"Calendar","تقویم"
"Share","اشتراک"
"Close","بستن"
"Scope","محدوده"
"Scheduled Changes","تغییرات برنامه ریزی شده"
"Start","شروع"
"End","پایان"
"Belongs to ","متعلق به "
"Please confirm scope switching. All data that hasn't been saved will be lost.","لطفا تغییر دامنه را تایید کنید تمام داده هایی که ذخیره نشده اند از بین خواهند رفت."
"Share Preview Link","اشتراک لینک پیش نمایش"
"Staging","مرحله بندی"
"Create New Update","ایجاد به روز رسانی جدید"
"Back","بازگشت"
"General","عمومی"
"Status","وضعيت"
"Update Name","به روز رسانی نام"
"Includes","شامل"
"Start Time","زمان شروع"
"End Time","زمان پایان"
"Description","توصیف"
