"Cancel","Anuluj"
"Preview","Podgląd"
"Done","Gotowe"
"Remove from Update","Usuń z aktualizacji"
"Save","Zapisz"
"Schedule New Update","Zaplanuj nową aktualizację"
"View Specific Date","Zobacz określoną datę"
"Date & Time","Data i czas"
"This update not exists.","Aktualizacja nie istnieje."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Zmień istniejącą aktualizację"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Zapisz jako nową aktualizację"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","Usunięto ten %1 z aktualizacji i zapisano go w innej."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","Usunięto ten %1 z aktualizacji."
"You removed this %1 from the update and saved it in a new one.","Usunięto ten %1 z aktualizacji i zapisano go w nowej."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Coś się zepsuło podczas usuwania %1."
"The 'mode' value is unexpected.","Wartość 'mode' nie jest obsługiwana."
"You saved this %1 update.","Zapisano aktualizację %1."
"Something went wrong while saving the %1.","Coś się zepsuło podczas zapisywania %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Wyświetl/Edytuj"
"Active","Aktywny"
"Upcoming","Nadchodzące"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Test"
"Error","Błąd"
"Test Exception","Test Exception"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Panel admina Magento"
"Calendar","Kalendarz"
"Share","Udostępnij"
"Close","Zamknij"
"Scope","Zakres"
"Scheduled Changes","Planowane zmiany"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Start"
"End","Koniec"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","Stan"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Należy do "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Potwierdź zmianę poziomu. Wszystkie niezapisane dane zostaną utracone."
"Share Preview Link","Udostępnik odnośnik"
"Staging","Przechodzenie"
"Create New Update","Create New Update"
"Back","Powrót"
"General","Ogólne"
"Update Name","Zaktualizowana nazwa"
"Includes","Zawiera"
"Start Time","Czas rozpoczęcia"
"End Time","Czas zakończenia"
"Description","Opis"
