"Cancel","Avbryt"
"Preview","Förhandsgranska"
"Done","Klart"
"Remove from Update","Ta bort från uppdatering"
"Save","Spara"
"Schedule New Update","Schemalägg ny uppdatering"
"View Specific Date","Visa specifika datum"
"Date & Time","Datum & tid"
"This update not exists.","Den här uppdateringen finns inte."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Redigera befintlig uppdatering"
"Assign to Another Update","Flytta till annan uppdatering"
"Save as a New Update","Spara som en ny uppdatering"
"Assign to Existing Update","Tilldela till befintliga uppdatering"
"You removed this %1 from the update and saved it in the other one.","Du tog bort denna %1 från uppdateringen och har sparat den i en annan."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"You removed this %1 from the update.","Du bort denna %1 från uppdateringen."
"You removed this %1 from the update and saved it in a new one.","Du bort denna %1 från uppdateringen och sparade den i en ny."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"Something went wrong while removing the %1.","Något gick fel när du sparade %1."
"The 'mode' value is unexpected.","Värdet 'läge' är oväntat."
"You saved this %1 update.","Du sparade uppdatering: %1."
"Something went wrong while saving the %1.","Något gick fel när du sparade %1."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
"%1 should implement %2","%1 should implement %2"
"Repository should return instance of %s","Repository should return instance of %s"
"Can not be rescheduled","Can not be rescheduled"
"Action class needs to implement ActionDataProviderInterface. Verify action class and try again.","Action class needs to implement ActionDataProviderInterface. Verify action class and try again."
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Visa/redigera"
"Active","Aktiv"
"Upcoming","Kommande"
"The Name for Future Update needs to be selected. Select and try again.","The Name for Future Update needs to be selected. Select and try again."
"The Start Time for Future Update needs to be selected. Select and try again.","The Start Time for Future Update needs to be selected. Select and try again."
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"The Future Update Start Time is invalid. It can't be earlier than the current time.","The Future Update Start Time is invalid. It can't be earlier than the current time."
"The Future Update End Time is invalid. It can't be the same time or earlier than the current time.","The Future Update End Time is invalid. It can't be the same time or earlier than the current time."
"The Future Update End Time is invalid. It can't be earlier than the current time.","The Future Update End Time is invalid. It can't be earlier than the current time."
"The update with the ""%1"" ID doesn't exist. Verify the ID and try again.","The update with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The active update can't be deleted.","The active update can't be deleted."
"The start time can't be changed while the update is active. Please wait until the update is complete and try again.","The start time can't be changed while the update is active. Please wait until the update is complete and try again."
"The future update was unable to be saved. Please try again.","The future update was unable to be saved. Please try again."
"Test","Test"
"Error","Fel"
"Test Exception","Test Exception"
"This action is unavailable","This action is unavailable"
"Magento Admin Panel","Magento adminpanel"
"Calendar","Calendar"
"Share","Share"
"Close","Stäng"
"Scope","Omfattning"
"Scheduled Changes","Planerade förändringar"
"Select","Select"
"Selected","Selected"
"We couldn't find any records.","We couldn't find any records."
"Start","Starta"
"End","Slut"
"Selected Update\:","Selected Update\:"
"Starting\:","Starting\:"
"Ending\:","Ending\:"
"Status","Status"
"This update includes","This update includes"
"Objects","Objects"
"To Start","To Start"
"To End","To End"
"Belongs to ","Belongs to "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Please confirm scope switching. All data that hasn't been saved will be lost."
"Share Preview Link","Share Preview Link"
"Staging","Staging"
"Create New Update","Skapa ny uppdatering"
"Back","Tillbaka"
"General","Allmänt"
"Update Name","Namn på uppdatering"
"Includes","Includes"
"Start Time","Starttid"
"End Time","End Time"
"Description","Beskrivning"
