"Cancel","Hủy bỏ"
"Preview","Xem trước"
"Done","Đã thực hiện"
"Remove from Update","Remove from Update"
"Save","Lưu lại"
"Schedule New Update","Lịch trình Cập Nhật mới"
"View Specific Date","Xem ngày cụ thể"
"Date & Time","Ngày & Giờ"
"This update not exists.","Bản cập nhật này không tồn tại."
"Content Staging Dashboard","Content Staging Dashboard"
"The Start Time of this Update cannot be changed. It's been already started.","The Start Time of this Update cannot be changed. It's been already started."
"Future Update in this time range already exists. 
                            Select a different range to add a new Future Update.","Future Update in this time range already exists. 
                            Select a different range to add a new Future Update."
"Cannot save Update.","Cannot save Update."
"Edit Existing Update","Chỉnh sửa các bản cập nhật sẵn có"
"Assign to Another Update","Assign to Another Update"
"Save as a New Update","Lưu như một bản cập nhật mới"
"Assign to Existing Update","Assign to Existing Update"
"You removed this %1 from the update and saved it in the other one.","Bạn bỏ %1 này khỏi bản Cập Nhật này và lưu nó trong bản khác."
"%1 is required parameter.","%1 is required parameter."
"You removed this %1 from the update.","Bạn loại %1 này khỏi Cập Nhật."
"You removed this %1 from the update and saved it in a new one.","Bạn %1 này khỏi các Cập Nhật và lưu nó trong một hình mới."
"Invalid action type %1.","Invalid action type %1."
"Invalid action.","Invalid action."
"Invalid parameter %1.","Invalid parameter %1."
"Something went wrong while removing the %1.","Một cái gì đó đã đi sai trong khi loại bỏ %1."
"The 'mode' value is unexpected.","Giá trị 'chế độ' là không ngờ."
"You saved this %1 update.","Bạn đã lưu bản Cập Nhật %1 này."
"Something went wrong while saving the %1.","Một cái gì đó đã đi sai trong khi lưu %1."
"Requested type does not have corresponding implementation","Requested type does not have corresponding implementation"
"Repository should return instance of %s","Kho nên trở về trường hợp của %s"
"Can not be rescheduled","Không thể dời lịch"
"Action class must implement ActionDataProviderInterface","Action class must implement ActionDataProviderInterface"
"entity_type","entity_type"
"Delete Update","Delete Update"
"View/Edit","Xem/chỉnh sửa"
"Active","Kích hoạt"
"Upcoming","Sắp tới"
"Please select Name for Future Update.","Please select Name for Future Update."
"Please select Start Time for Future Update.","Please select Start Time for Future Update."
"Future Update Start Time cannot be earlier than current time.","Future Update Start Time cannot be earlier than current time."
"Future Update End Time cannot be equal or earlier than Start Time.","Future Update End Time cannot be equal or earlier than Start Time."
"Future Update End Time cannot be earlier than current time.","Future Update End Time cannot be earlier than current time."
"Update with id ""%1"" does not exist.","Update with id ""%1"" does not exist."
"Active update can not be deleted","Active update can not be deleted"
"Start time could not be changed while update active","Start time could not be changed while update active"
"Unable to save Future Update.","Unable to save Future Update."
"Test","Thử nghiệm"
"Error","Lỗi"
"Test Exception","Kiểm tra ngoại lệ"
"This action is unavailable","Hành động này không có sẵn"
"Magento Admin Panel","Mục quản trị Magento"
"Calendar","Lịch"
"Share","Chia sẻ"
"Close","Đóng lại"
"Scope","Phạm vi"
"Scheduled Changes","Lịch trình thay đổi"
"Start","Bắt đầu"
"End","Kết thúc"
"Belongs to ","Thuộc về "
"Please confirm scope switching. All data that hasn't been saved will be lost.","Xin vui lòng xác nhận lại việc di chuyển. Các dữ liệu chưa lưu sẽ bị mất."
"Share Preview Link","Chia sẻ liên kết xem trước"
"Staging","Dàn dựng"
"Create New Update","Create New Update"
"Back","Trở lại"
"General","Chung"
"Status","Trạng thái"
"Update Name","Cập Nhật tên"
"Includes","Bao gồm"
"Start Time","Thời Gian Bắt Đầu"
"End Time","Thời gian kết thúc"
"Description","Mô tả"
"Preview Update","Preview Update"
"Remove this update","Remove this update"
"Staging Dashboard","Staging Dashboard"
"Assign to Another Campaign","Assign to Another Campaign"
"Assign to Existing Campaign","Assign to Existing Campaign"
"Create New Campaign","Create New Campaign"
"Campaign/Promo Name","Campaign/Promo Name"
"Action","Action"
"MMM d, y h:mm a","MMM d, y h:mm a"
"Name","Name"
"The Future Update Start Time is invalid. It can't be later than current time + %1 years.","The Future Update Start Time is invalid. It can't be later than current time + %1 years."
"The Future Update End Time is invalid. It can't be later than current time + %1 years.","The Future Update End Time is invalid. It can't be later than current time + %1 years."
"Future Update already exists in this time range. Set a different range and try again.","Future Update already exists in this time range. Set a different range and try again."
"The required parameter is ""%1"". Set parameter and try again.","The required parameter is ""%1"". Set parameter and try again."
"The ""%1"" action type is invalid. Verify the action type and try again.","The ""%1"" action type is invalid. Verify the action type and try again."
"The action is invalid. Verify the action and try again.","The action is invalid. Verify the action and try again."
"The ""%1"" parameter is invalid. Verify the parameter and try again.","The ""%1"" parameter is invalid. Verify the parameter and try again."
"The type that was requested doesn't have a corresponding implementation. Verity the type and try again.","The type that was requested doesn't have a corresponding implementation. Verity the type and try again."
