"Back","Indietro"
"Backup Log Details","Dettagli Log Backup"
"Create","Crea"
"Requested system report has no data to output.","Il report di sistema richiesto non contiene dati di output."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Sei sicuro di che voler eliminare il report di sistema?"
"Download","Scarica"
"Go to Top","Vai all'inizio"
"Report","Report"
"System Report Information","Informazioni del Report di sistema"
"Requested system report has no data to display.","Il report di sistema richiesto non contiene dati da visualizzare."
"Output path %1 doesn't exist","Il percorso di output %1 non esiste"
"Unknown DB param: %1","Parametro DB sconosciuto: %1"
"Paths file already exists","Il percorso del file esiste già"
"Paths file cannot be created","Impossibile creare i percorsi dei file"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Un totale di %1 record sono stati eliminati."
"Support","Assistenza"
"Data Collector","Data Collector"
"The backup has been saved.","Il backup è stato salvato."
"Failed to save backup with error: %1","E' fallito il salvataggio del backup con errore: %1"
"An error occurred while saving backup","Errore durante il salvataggio del backup"
"All processes should be complete","All processes should be complete"
"Wrong param id","Id param errato"
"The backup has been deleted.","Il backup è stato eliminato."
"Cannot delete backup","Non è possibile eliminare il backup"
"File does not exist","Il file non esiste"
"Log Details","Dettagli log"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","Errore durante l'eliminazione di massa dei data collector backups. Controlla i log e riprova."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","Dopo aver effettuato le selezioni, fare clic sul pulsante ""Crea"". Aspetta mentre viene generato il Report di sistema. Questo potrebbe richiedere alcuni minuti. Si riceverà una notifica una volta completato questo passaggio."
"Create System Report","Crea Report di sistema"
"Unable to find a system report to delete.","Impossibile trovare un report di sistema da eliminare."
"The system report has been deleted.","Il report di sistema è stato eliminato."
"An error occurred while deleting the system report. Please review log and try again.","Errore durante l'eliminazione del report di sistema. Controlla i log e riprova."
"Requested system report no longer exists.","Il report di sistema richiesto non esiste più."
"Unable to read system report data to display.","Impossibile leggere i dati del report di sistema da visualizzare."
"No groups were specified to generate system report.","Non sono stati specificati gruppi per generare il report di sistema."
"The system report has been generated.","È stato generato il report di sistema."
"An error occurred while the system report was being created. Please review the log and try again.","Si è verificato un errore durante la creazione del report di sistema. Controlla i log e riprova."
"System Reports","Reports di sistema"
"An error occurred during mass deletion of system reports. Please review log and try again.","Errore durante l'eliminazione di massa dei report del sistema. Controlla i log e riprova."
"Utility %1 not found","Utility %1 not found"
"Unknown utility: %1","Unknown utility: %1"
"Cannot set root directory.","Cannot set root directory."
"Support Module doesn't support %s operation system","Modulo Supporto non supporta %s operazione di sistema"
"Unable to create backup due to php exec function is disabled","Impossibile creare il backup a causa della funzione php exec disabilitata"
"Incomplete","Incompleto"
"Complete","Completato"
"Failed","Fallito"
