"Back","Tilbake"
"Backup Log Details","Detaljer for sikkerhetskopieringslogg"
"Create","Opprett"
"Requested system report has no data to output.","Den forespurte systemrapporten har ingen data å vise."
"&copy; Magento Commerce Inc., %1","&copy; Magento Commerce Inc., %1"
"Are you sure you want to delete the system report?","Er du sikker på at du vil slette systemrapporten?"
"Download","Last ned"
"Go to Top","Gå til toppen"
"Report","Rapport"
"System Report Information","System Report Information"
"Requested system report has no data to display.","Requested system report has no data to display."
"Output path %1 doesn't exist","Output path %1 doesn't exist"
"Unknown DB param: %1","Ukjent DB param: %1"
"Paths file already exists","Paths file already exists"
"Paths file cannot be created","Paths file cannot be created"
"Please select item(s).","Please select item(s)."
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) ble slettet."
"Support","Support"
"Data Collector","Data Collector"
"The backup has been saved.","Sikkerhetskopien er lagret."
"Failed to save backup with error: %1","Failed to save backup with error: %1"
"An error occurred while saving backup","An error occurred while saving backup"
"All processes should be complete","All processes should be complete"
"Wrong param id","Wrong param id"
"The backup has been deleted.","The backup has been deleted."
"Cannot delete backup","Cannot delete backup"
"File does not exist","File does not exist"
"Log Details","Log Details"
"An error occurred during mass deletion of data collector backups. Please review log and try again.","An error occurred during mass deletion of data collector backups. Please review log and try again."
"After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed.","After you make your selections, click the ""Create"" button. Then stand by while the System Report is generated. This may take a few minutes. You will receive a notification once this step is completed."
"Create System Report","Create System Report"
"Unable to find a system report to delete.","Unable to find a system report to delete."
"The system report has been deleted.","The system report has been deleted."
"An error occurred while deleting the system report. Please review log and try again.","An error occurred while deleting the system report. Please review log and try again."
"Requested system report no longer exists.","Requested system report no longer exists."
"Unable to read system report data to display.","Unable to read system report data to display."
"No groups were specified to generate system report.","No groups were specified to generate system report."
"The system report has been generated.","The system report has been generated."
"An error occurred while the system report was being created. Please review the log and try again.","An error occurred while the system report was being created. Please review the log and try again."
"System Reports","System Reports"
"An error occurred during mass deletion of system reports. Please review log and try again.","An error occurred during mass deletion of system reports. Please review log and try again."
