"Admin is a required field in each row","Admin is a required field in each row"
"Update Product Preview Image","Uppdatera produktens förhandsgranskningsbild"
"Filtering by this attribute will update the product image on catalog page","Filtering efter denna attribut kommer uppdatera produktbilden på kategorisidan"
"Use Product Image for Swatch if Possible","Använd om möjligt produktbilden för Swatch"
"Allows use fallback logic for replacing swatch image with product swatch or base image","Tillåter användning av fallback logik för att ersätta swatch bild med swatch eller basproduktbild"
"Visual Swatch","Visuell Swatch"
"Text Swatch","Text Swatch"
"Manage Swatch (Values of Your Attribute)","Hantera Swatch (värden på ditt attribut)"
"Is Default","Standard"
"Add Swatch","Lägg till Swatch"
"Sort Option","Sorteringsalternativ"
"Swatch","Swatch"
"Description","Beskrivning"
"Delete","Ta bort"
"The value of Admin must be unique.","Värdet för Admin måste vara unikt."
"Choose a color","Välj en färg"
"Upload a file","Ladda upp en fil"
"Clear","Rensa"
"Step 2: Attribute Values","Steg 2: Attributvärden"
"Select from the following attribute values for this product. Each unique combination of values creates a unique product SKU.","Välj från följande attributvärden för denna produkt. Varje unik kombination av värden skapar ett unikt Artikelnummer."
"Sort Variations","Sortera variationer"
"Options","Alternativ"
"Select All","Markera alla"
"Deselect All","Avmarkera alla"
"Remove Attribute","Ta bort attribut"
"Save Option","Spara alternativet"
"Remove Option","Ta bort alternativet"
"Create New Value","Skapa nytt värde"
"These changes affect all related products.","These changes affect all related products."
"Swatches","Swatches"
"Swatches per Product","Swatches per Product"
"Show Swatches in Product List","Show Swatches in Product List"
"Swatch Image","Swatch Image"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Image","Image"
"Image Opacity","Image Opacity"
"Example format: 200x300.","Example format: 200x300."
"Image Size","Image Size"
"Image Position","Image Position"
"Default Store View","Standard butiks vy"
"Admin","Admin"
"Swatch Helper: not valid parameter for product instantiation","Swatch Helper: not valid parameter for product instantiation"
"Admin is a required field in the each row","Admin is a required field in the each row"
"Manage Swatch (values of your attribute)","Manage Swatch (values of your attribute)"
"Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU.","Select values from each attribute to include in this product. Each unique combination of values creates a unigue product SKU."
"Swatch cannot be saved","Swatch cannot be saved"
"More","More"
"Sending swatch values as package.","Sending swatch values as package."
"Addtional data is wrong and cannot be assembled","Addtional data is wrong and cannot be assembled"
"Addtional data is wrong and cannot be populated","Addtional data is wrong and cannot be populated"
