"Tax Rate Information","معلومات معدل الضريبة"
"Tax Identifier","معرف الضريبة"
"Zip/Post is Range","الرمز البريدي"
"Zip/Post Code","الرمز البريدي"
"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and are not longer than %1.","'*'-يطابق أي؛ 'xyz *'-يطابق أي التي تبدأ في 'xyz'، وهي ليست أطول من %1."
"Range From","الحدود من"
"Range To","الحدود إلى"
"State","ولاية"
"Country","الدولة"
"Rate Percent","Rate Percent"
"Tax Titles","عناوين الضرائب"
"Add New Tax Rate","إضافة معدل ضريبة جديد"
"Back","رجوع"
"Reset","اعادة ضبط"
"Delete Rate","حذف معدل"
"Are you sure you want to do this?","هل أنت متأكد أنك تريد فعل ذلك؟"
"Save Rate","حفظ معدل"
"Manage Tax Rules","إدارة قواعد الضريبة"
"Add New Tax Rule","إضافة قاعدة ضريبية جديدة"
"Save Rule","احفظ القاعدة"
"Delete Rule","حذف قاعدة"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Tax Rule Information","معلومات معدل الضريبة"
"Name","اسم"
"Customer Tax Class","شريحة العميل الضريبية"
"Product Tax Class","شريحة المنتج الضريبية"
"Tax Rate","معدل الضريبة"
"Priority","أولوية"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Calculate Off Subtotal Only","Calculate Off Subtotal Only"
"Sort Order","الترتيب"
"Do you really want to delete this tax class?","Do you really want to delete this tax class?"
"Add New Tax Class","Add New Tax Class"
"Shipping Incl. Tax (%1)","الشحن شامل الضريبة (%1)"
"Shipping Excl. Tax (%1)","الشحن غير شامل الضريبة (%1)"
"Subtotal (Excl.Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Incl.Tax)","الإجمالي (شامل الضريبة)"
"Shipping & Handling (Excl.Tax)","الشحن و التوصيل (غير شامل الضريبة)"
"Shipping & Handling (Incl.Tax)","الشحن و التوصيل (شامل الضريبة)"
"Grand Total (Excl.Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Incl.Tax)","المجموع الكلي (شامل الضريبة)"
"Sales","المبيعات"
"Tax","الضريبة"
"Manage Tax Rates","إدارة معدلات الضريبة"
"New Tax Rate","معدل ضريبة جديد"
"Tax Zones and Rates","Tax Zones and Rates"
"We can't delete this tax rate right now.","لا يمكن حذف معدل الضريبة هذه الآن."
"An error occurred while loading this tax rate.","An error occurred while loading this tax rate."
"We can't save this rate right now.","We can't save this rate right now."
"You deleted the tax rate.","You deleted the tax rate."
"We can't delete this rate because of an incorrect rate ID.","لا يمكننا حذف هذا المعدل بسبب ان معدل المعرف غير صحيح."
"Something went wrong deleting this rate.","Something went wrong deleting this rate."
"Edit Tax Rate","تعديل معدل الضريبة"
"You saved the tax rate.","You saved the tax rate."
"Tax Rules","قواعد الضريبة"
"An error occurred while loading tax rates.","An error occurred while loading tax rates."
"The tax rule has been deleted.","The tax rule has been deleted."
"This rule no longer exists.","هذة القاعدة لم تعد موجودة."
"Something went wrong deleting this tax rule.","Something went wrong deleting this tax rule."
"New Tax Rule","New Tax Rule"
"Edit Rule","تعديل قاعدة"
"New Rule","قاعدة جديدة"
"You saved the tax rule.","You saved the tax rule."
"We can't save this tax rule right now.","لا يمكن حفظ هذه القاعدة الضريبية الآن."
"Invalid name of tax class specified.","Invalid name of tax class specified."
"We can't delete this tax class right now.","لا يمكن حذف فئة هذه الضريبة الآن."
"We can't save this tax class right now.","لا يمكن حفظ فئة هذه الضريبة الآن."
"Make sure all required information is valid.","Make sure all required information is valid."
"The Rate Percent should be a positive number.","The Rate Percent should be a positive number."
"Maximum zip code length is 9.","Maximum zip code length is 9."
"Use digits only for the zip code.","Use digits only for the zip code."
"Range To should be equal or greater than Range From.","Range To should be equal or greater than Range From."
"The tax rate cannot be removed. It exists in a tax rule.","The tax rate cannot be removed. It exists in a tax rule."
"%fieldName is a required field.","%fieldName is a required field."
"Invalid value of ""%value"" provided for the %fieldName field.","Invalid value of ""%value"" provided for the %fieldName field."
"This class no longer exists.","This class no longer exists."
"You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first.","You cannot delete this tax class because it is used in Tax Rules. You have to delete the rules it is used in first."
"You cannot delete this tax class because it is used in existing %1(s).","You cannot delete this tax class because it is used in existing %1(s)."
"Custom price if available","الأسعار المخصصة إذا كان متوفراً"
"Original price only","السعر الأصلي فقط"
"Shipping Address","عنوان الشحن"
"Billing Address","عنوان الفاتورة"
"Shipping Origin","Shipping Origin"
"No (price without tax)","لا ( سعر بدون ضريبة)."
"Yes (only price with tax)","نعم (السعر فقط مع الضريبه)"
"Both (without and with tax)","كلا من (بدون و مع الضريبة)"
"Invalid attribute %1","%1 سمة غير صالحة"
"Code","رمز"
"Invalid type supplied","Invalid type supplied"
"Class name and class type","Class name and class type"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Grand Total (Excl. Tax)","المجموع الكلي (غير شامل الضريبة)"
"Grand Total (Incl. Tax)","المجموع الكلي (شامل الضريبة)"
"Shipping (Excl. Tax)","الشحن غير شامل الضريبة (%1)"
"Shipping (Incl. Tax)","الشحن شامل الضريبة (%1)"
"Subtotal (Excl. Tax)","الإجمالي (غير شامل الضريبة)"
"Subtotal (Incl. Tax)","الإجمالي (شامل الضريبة)"
"Subtotal","الإجمالي"
"Unit Price","سعر الوحدة"
"Row Total","مجموع الصف"
"Total","إجمالي"
"Before Discount","Before Discount"
"After Discount","After Discount"
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"None","لا شئ"
"Including and Excluding Tax","Including and Excluding Tax"
"To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. ","To apply the discount on prices including tax and apply the tax after discount, set Catalog Prices to “Including Tax”. "
"Store(s) affected: ","Store(s) affected: "
"Click on the link to <a href=""%1"">ignore this notification</a>","Click on the link to <a href=""%1"">ignore this notification</a>"
