"Code","Koodi"
"Country","Maa"
"State","Lääni"
"Zip/Post Code","Postinumero"
"Rate","Rate"
"Zip/Post is Range","Postinumero on alueella"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","Tax Zones and Rates"
"Import and Export Tax Rates","Import and Export Tax Rates"
"The tax rate has been imported.","The tax rate has been imported."
"Invalid file upload attempt","Invalid file upload attempt"
"Invalid file upload attempt.","Invalid file upload attempt."
"Invalid file format.","Tiedostomuoto ei kelpaa."
"Country code is invalid: %1","Maakoodi on virheellinen: %1"
"Import Tax Rates","Tuo verokannat"
"Export Tax Rates","Export Tax Rates"
"Please select a file to import!","Please select a file to import!"
"Import/Export Tax Rates","Tuo/vie veroluokkia"
"CSV","CSV"
"Excel XML","Excel XML"
