"Code","Код"
"Country","Држава"
"State","Држава"
"Zip/Post Code","Поштански број/Пост Код"
"Rate","Rate"
"Zip/Post is Range","Поштански број/Пост ис Ранге"
"Range From","Range From"
"Range To","Range To"
"Tax Zones and Rates","Порез Зонес анд Ратес"
"Import and Export Tax Rates","Увези анд Извези Порез Ратес"
"The tax rate has been imported.","Тхе таx рате је импортед."
"Invalid file upload attempt","Неисправан филе уплоад аттемпт"
"Invalid file upload attempt.","Неисправан филе уплоад аттемпт."
"Invalid file format.","Неисправан филе формат."
"One of the countries has invalid code.","Оне оф тхе цоунтриес хас неисправан цоде."
"Import Tax Rates","Увези Порез Ратес"
"Export Tax Rates","Извези Порез Ратес"
"CSV","CSV"
"Excel XML","Excel XML"
"Country code is invalid: %1","Земља цоде ис неисправан: %1"
"Import/Export Tax Rates","Увези/Извези Порез Ратес"
