"Code","Kod"
"Country","Ülke"
"State","Eyalet"
"Zip/Post Code","Posta Kodu"
"Rate","Oran"
"Zip/Post is Range","Zip/Posta Kdu Aralığı"
"Range From","Aralık Başlangıcı"
"Range To","Aralık Sonu"
"Tax Zones and Rates","Vergi bölgeleri ve oranları"
"Import and Export Tax Rates","Vergi Oranlarını Al ve Ver"
"The tax rate has been imported.","Vergi oranı alındı."
"Invalid file upload attempt","Hatalı dosya yükleme işlemi"
"Invalid file upload attempt.","Geçersiz dosya yükleme girişimi."
"Invalid file format.","Geçersiz belge formatı."
"One of the countries has invalid code.","One of the countries has invalid code."
"Import Tax Rates","Vergi oranlarını Al"
"Export Tax Rates","Vergi Oranlarını Dışarı Çıkart"
"CSV","Csv"
"Excel XML","Excel XML"
"Country code is invalid: %1","Country code is invalid: %1"
"Import/Export Tax Rates","İthalat / İhracat Vergi Oranları"
