"Back","Zurück"
"Save and Continue","Speichern und fortfahren"
"Save Configuration","Konfiguration speichern"
"%1","%1"
"Default","Voreinstellung"
"Themes","Themen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Are you sure you want to delete this theme?","Sind Sie sicher, dass Sie dieses Thema löschen möchten?"
"Theme: %1","Thema: %1"
"New Theme","Neues Thema"
"Theme CSS","CSS des Themas"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Benutzerdefiniertes CSS"
"Select CSS File to Upload","CSS-Datei zum Hochladen auswählen"
"Upload CSS File","CSS Datei hochladen"
"Download CSS File","CSS-Datei herunterladen"
"Manage","Verwalten"
"Upload Images","Bilder hochladen"
"Images Assets","Bilder Assets"
"Upload Fonts","Schriften hochladen"
"Fonts Assets","Schriftarten Assets"
"Edit custom.css","custom.css bearbeiten"
"Allowed file types *.css.","Erlaubte Dateitypen *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","Diese Datei wird die aktuelle custom.css Datei ersetzen und darf nicht mehr als 2 MB groß sein."
"Max file size to upload %1M","Maximale Dateigröße für Upload %1 MB"
"Something is wrong with the file upload settings.","Etwas stimmt nicht mit den Datei-Upload-Einstellungen."
"CSS Editor","CSS-Editor"
"Theme Settings","Designeinstellungen"
"Parent Theme","Übergeordneten Thema"
"Theme Path","Pfad des Themas"
"Theme Title","Titel des Themas"
"Theme Preview Image","Designvorschaubild"
"General","Allgemein"
"Copy of %1","Kopie von %1"
"Max image size %1M","Maximale Bildgröße %1 MB"
"Theme JavaScript","JavaScript des Themas"
"Select JS Files to Upload","JS-Dateien zum Hochladen auswählen"
"Upload JS Files","JS-Dateien hochladen"
"JS Editor","JS-Editor"
"Allowed file types *.js.","Erlaubte Dateitypen *.js."
"Theme","Thema"
"Media Storage","Medienspeicher"
"Create Folder","Ordner erstellen"
"Delete Folder","Ordner löschen"
"Delete File","Datei löschen"
"Insert File","Datei einfügen"
"New Folder Name:","Neuer Ordner-Name:"
"Are you sure you want to delete this folder?","Sind Sie sicher, dass Sie diesen Ordner löschen möchten?"
"Are you sure you want to delete this file?","Sind Sie sicher, dass Sie diese Datei löschen möchten?"
"Storage Root","Hauptverzeichnis des Speichers"
"welcome","willkommen"
"Global","Global"
"Design Configuration","Design-Konfiguration"
