"Back","חזור"
"Save and Continue","שמור והמשך"
"Save Configuration","שמור הגדרות"
"%1","%1"
"Default","ברירת מחדל"
"Themes","תבניות"
"Save and Continue Edit","שמור והמשך בעריכה"
"Are you sure you want to delete this theme?","האם אתה בטוח שברצונך למחוק תבנית זו?"
"Theme: %1","תבנית: %1"
"New Theme","תבנית חדשה"
"Theme CSS","CSS של התבנית"
"Theme CSS Assets","נכסי CSS של התבנית"
"Custom CSS","CSS מותאם אישית"
"Select CSS File to Upload","בחר קובץ CSS להעלאה"
"Upload CSS File","העלאת קובץ CSS"
"Download CSS File","הורדת קובץ CSS"
"Manage","ניהול"
"Upload Images","העלאת תמונות"
"Images Assets","נכסי תמונות"
"Upload Fonts","העלאת גופנים"
"Fonts Assets","נכסי גופנים"
"Edit custom.css","ערוך custom.css"
"Allowed file types *.css.","אפשר סוגי קבצים *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","קובץ זה יחליף את קובץ ה-custom.css הנוכחי ואינו יכול להיות יותר מ-2MB."
"Max file size to upload %1M","גודל קובץ מרבי להעלאה %1M"
"Something is wrong with the file upload settings.","משהו לא בסדר עם הגדרות העלאת קובץ."
"CSS Editor","עורך CSS"
"Theme Settings","הגדרות תבנית"
"Parent Theme","תבנית אב"
"Theme Path","נתיב התבנית"
"Theme Title","כותרת התבנית"
"Theme Preview Image","תמונה תצוגה מקדימה של התבנית"
"General","כללי"
"Copy of %1","עותק של %1"
"Max image size %1M","גודל תמונה מרבי %1M"
"Theme JavaScript","JavaScript של הבנית"
"Select JS Files to Upload","בחר קובץ JS להעלאה"
"Upload JS Files","העלאת קבצי JS"
"JS Editor","עורך JS"
"Allowed file types *.js.","אפשר סוגי קבצים *.js."
"Theme","תבנית"
"Media Storage","אחסון מדיה"
"Create Folder","צור תיקייה"
"Delete Folder","מחק תיקייה"
"Delete File","מחק קובץ"
"Insert File","הכנס קובץ"
"New Folder Name:","שם התיקיה החדשה:"
"Are you sure you want to delete this folder?","האם אתה בטוח שברצונך למחוק תיקיה זו?"
"Are you sure you want to delete this file?","האם אתה בטוח שברצונך למחוק קובץ זה?"
"Storage Root","שורש אחסון"
"welcome","ברוך הבא"
"Global","גלובלי"
"Design Configuration","הגדרות תצורת עיצוב"
"You saved the configuration.","שמרת את ההגדרות."
"Something went wrong while saving this configuration:","משהו השתבש בעת קופיגורציה זאת:"
"You deleted the theme.","You deleted the theme."
"We cannot delete the theme.","We cannot delete the theme."
"File not found: ""%1"".","File not found: ""%1""."
"We can't find file.","לא ניתן למצוא את הקובץ."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","You saved the theme."
"We can't upload the CSS file right now.","לא ניתן להעלות את קובץ ה-CSS כעת."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
