"Back","ಹಿಂದೆ"
"Save and Continue","ಉಳಿಸಿ ಮತ್ತು ಮುಂದುವರೆಯಿರಿ"
"Save Configuration","ಸಂರಚನೆಯನ್ನು ಉಳಿಸಿ"
"%1","%1"
"Default","ಪೂರ್ವನಿಯೋಜಿತ"
"Themes","ಥೀಮ್‌ಗಳು"
"Save and Continue Edit","ಉಳಿಸಿ ಮತ್ತು ಸಂಪಾದನೆಯನ್ನು ಮುಂದುವರೆಸಿ"
"Are you sure you want to delete this theme?","ನೀವು ಈ ಥೀಮ್ ಅನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Theme: %1","ಥೀಮ್:%1"
"New Theme","ಹೊಸ ಥೀಮ್"
"Theme CSS","ಥೀಮ್ CSS"
"Theme CSS Assets","Theme CSS Assets"
"Custom CSS","Custom CSS"
"Select CSS File to Upload","ಅಪ್ಲೋಡ್ ಮಾಡಲು CSS ಕಡತವನ್ನು ಆಯ್ಕೆಮಾಡಿ"
"Upload CSS File","CSS ಕಡತ ಅಪ್ಲೋಡ್ ಮಾಡಿ"
"Download CSS File","Download CSS File"
"Manage","ನಿರ್ವಹಿಸಿ"
"Upload Images","ಚಿತ್ರಗಳನ್ನು ಅಪ್ಲೋಡ್ ಮಾಡಿ"
"Images Assets","Images Assets"
"Upload Fonts","Upload Fonts"
"Fonts Assets","Fonts Assets"
"Edit custom.css","Edit custom.css"
"Allowed file types *.css.","ಅನುಮತಿಸಿರುವ ಕಡತದ ವಿಧಗಳು *.css."
"This file will replace the current custom.css file and can't be more than 2 MB.","This file will replace the current custom.css file and can't be more than 2 MB."
"Max file size to upload %1M","Max file size to upload %1M"
"Something is wrong with the file upload settings.","Something is wrong with the file upload settings."
"CSS Editor","CSS ಸಂಪಾದಕ"
"Theme Settings","ಥೀಮ್ ಸಂಯೋಜನೆಗಳು"
"Parent Theme","Parent Theme"
"Theme Path","ಥೀಮ್ ಪಥ"
"Theme Title","ಥೀಮ್ ಶೀರ್ಷಿಕೆ"
"Theme Preview Image","ಥೀಮ್ ಮುನ್ನೋಟ ಚಿತ್ರ"
"General","ಸಾಮಾನ್ಯ"
"Copy of %1","%1 ರ ನಕಲು"
"Max image size %1M","Max image size %1M"
"Theme JavaScript","Theme JavaScript"
"Select JS Files to Upload","Select JS Files to Upload"
"Upload JS Files","Upload JS Files"
"JS Editor","JS ಸಂಪಾದಕ"
"Allowed file types *.js.","ಅನುಮತಿಸಿರುವ ಕಡತದ ವಿಧಗಳು *.js."
"Theme","ಥೀಮ್‌"
"Media Storage","ಮಾಧ್ಯಮ ಸಂಗ್ರಹಣೆ"
"Create Folder","ಫೋಲ್ಡರ್ ರಚಿಸಿ"
"Delete Folder","ಫೋಲ್ಡರ್ ಅಳಿಸಿ"
"Delete File","ಕಡತ ಅಳಿಸಿ"
"Insert File","Insert File"
"New Folder Name:","ಹೊಸ ಫೋಲ್ಡರ್ ಹೆಸರು:"
"Are you sure you want to delete this folder?","ನೀವು ಈ ಕಡತಕೋಶವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Are you sure you want to delete this file?","ನೀವು ಈ ಕಡತವನ್ನು ಖಚಿತವಾಗಿಯೂ ಅಳಿಸಬಯಸುವಿರಾ?"
"Storage Root","ಸಂಗ್ರಹಣಾ ಮೂಲ"
"welcome","ಸುಸ್ವಾಗತ"
"Global","ಜಾಗತಿಕ"
"Design Configuration","Design Configuration"
"You saved the configuration.","You saved the configuration."
"Something went wrong while saving this configuration:","Something went wrong while saving this configuration:"
"You deleted the theme.","ನೀವು ಥೀಮ್ ಅನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"We cannot delete the theme.","ಈ ಥೀಮ್ ಅನ್ನು ಅಳಿಸಲು ಸಾಧ್ಯವಿಲ್ಲ."
"File not found: ""%1"".","ಕಡತ ಕಂಡುಬಂದಿಲ್ಲ:""%1""."
"We can't find file.","We can't find file."
"We cannot find theme ""%1"".","We cannot find theme ""%1""."
"We cannot find the theme.","We cannot find the theme."
"This theme is not editable.","This theme is not editable."
"You saved the theme.","ನೀವು ಥೀಮ್ ಅನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"We can't upload the CSS file right now.","We can't upload the CSS file right now."
"We cannot find a theme with id ""%1"".","We cannot find a theme with id ""%1""."
"We can't upload the JS file right now.","We can't upload the JS file right now."
"Sorry, something went wrong. That's all we know.","Sorry, something went wrong. That's all we know."
"Invalid type","Invalid type"
"Invalid scope or scope id","Invalid scope or scope id"
"%1 does not contain field '%2'","%1 does not contain field '%2'"
"Invalid regular expression: ""%1"".","Invalid regular expression: ""%1""."
"%1 does not contain field 'file'","%1 does not contain field 'file'"
"Backend model is not specified for %1","Backend model is not specified for %1"
"The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference.","The %templateName contains an incorrect configuration. The template has a reference to itself. Either remove or change the reference."
"Can not save empty config","Can not save empty config"
"label","ಲೇಬಲ್"
"-- Please Select --","--ದಯವಿಟ್ಟು ಆರಿಸಿ--"
"The start date can't follow the end date.","The start date can't follow the end date."
"The date range for this design change overlaps another design change for the specified store.","The date range for this design change overlaps another design change for the specified store."
"Copy","ನಕಲಿಸಿ"
"Theme id should be set","Theme id should be set"
"Circular-reference in theme inheritance detected for ""%1""","Circular-reference in theme inheritance detected for ""%1"""
"The CSS file must be less than %1M.","The CSS file must be less than %1M."
"The JS file must be less than %1M.","The JS file must be less than %1M."
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Exception ಸಂದೇಶ"
"localized exception","localized exception"
"Message","ಸಂದೇಶ"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","ಸಂಪಾದಿಸಿ"
"We found no files.","ನಮಗೆ ಯಾವುದೇ ಕಡತಗಳು ಕಂಡುಬಂದಿಲ್ಲ."
"Browse Files","Browse Files"
"Scope:","ವ್ಯಾಪ್ತಿ:"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","ಎಲ್ಲಾ ಬಗ್ಗುಗಳನ್ನು ವರದಿ ಮಾಡಿ"
"Welcome, %1!","ಸುಸ್ವಾಗತ, %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","JavaScript seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Javascript in your browser.","For the best experience on our site, be sure to turn on Javascript in your browser."
"Local Storage seems to be disabled in your browser.","Local Storage seems to be disabled in your browser."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","For the best experience on our site, be sure to turn on Local Storage in your browser."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Items %1 to %2 of %3 total"
"%1 Item","%1 ವಸ್ತು"
"%1 Item(s)","%1 ವಸ್ತುಗಳು"
"Page","ಪುಟ"
"Previous","ಹಿಂದಿನ"
"You're currently reading page","ಪ್ರಸ್ತುತ ನೀವು ಪುಟವನ್ನು ಓದುತಿದ್ದೀರಿ"
"Next","ಮುಂದೆ"
"Show","ಪ್ರದರ್ಶಿಸಿ"
"per page","ಪ್ರತಿ ಪುಟಕ್ಕೆ"
"About the calendar","ದಿನದರ್ಶಿಕೆ ಬಗ್ಗೆ"
"Close","ಮುಚ್ಚಿರಿ"
"Go Today","ಇಂದಿನ ದಿನಕ್ಕೆ ತೆರಳಿ"
"WK","WK"
"Time","ಸಮಯ"
"Hour","ಗಂಟೆ"
"Minute","ನಿಮಿಷ"
"%name,","%name,"
