"Condition type ""%1"" is not allowed","Typ podmínky ""%1"" není povolen"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","The configuration parameter ""formElement"" is a required for ""%1"" field."
"Remove %1","Odstranit %1"
"Add New %1","Přidat další %1"
"New %1","Nový %1"
"Please select item(s).","Please select item(s)."
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
".","."
"Unsupported bookmark action.","Nepodporovaná akce záložky."
"UI component could not be rendered because of system exception","UI component could not be rendered because of system exception"
"Parameter ""class"" must be present.","Parameter ""class"" must be present."
"Parameter ""sortOrder"" must be present.","Parameter ""sortOrder"" must be present."
"Invalid UI Component element name: '%1'","Invalid UI Component element name: '%1'"
"Bookmark with id ""%1"" does not exist.","Bookmark with id ""%1"" does not exist."
"Invalid UI Component element name: ''","Invalid UI Component element name: ''"
"Cancel","Zrušit"
"Back","Zpět"
"Next","Následující"
"Changes have been made to this section that have not been saved.","V této sekci byly provedeny změny, které nebyly uloženy."
"This tab contains invalid data. Please resolve this before saving.","Tato záložka obsahuje neplatná data. Před uložením odstraňte problém prosím."
"Assign","Přiřadit"
"Options","Možnosti"
"records found","nalezených záznamů"
"selected","zvoleno"
"of","z"
"Filters","Filtry"
"Add","Přidat"
"Something went wrong.","Něco se pokazilo."
"Yes","Ano"
"No","Ne"
"Done","Hotovo"
"options","možnosti"
"Select...","Zvolit..."
"Selected","Zvoleno"
"Select All","Vybrat vše"
"Deselect All","Zrušit výběr všech"
"Select All on This Page","Zvolit vše na této stránce"
"Deselect All on This Page","Zrušit výběr všech na stránce"
"On","Zapnuto"
"Off","Vypnuto"
"Go to Details Page","Přejít na stránku s detaily"
"New View","Nové zobrazení"
"Default View","Výchozí zobrazení"
"${ $.visible } out of ${ $.total } visible","{ $.visible } $ z ${ $.total } viditelných"
"You have successfully saved your edits.","Provedené úpravy byly uloženy."
"There are {placeholder} messages requires your attention.","There are {placeholder} messages requires your attention."
"from","od"
"to","do"
"You haven't selected any items!","You haven't selected any items!"
"Search by keyword","Hledat podle klíčového slova"
"Keyword","Klíčové slovo"
"Select Date","Vybrat datum"
"Please enter more or equal than {0} symbols.","Zadejte {0} nebo více znaků."
"Please enter less or equal than {0} symbols.","Zadejte {0} nebo méně znaků."
"Please enter {0} words or less.","Zadejte {0} nebo méně slov."
"Please enter at least {0} words.","Zadejte alespoň {0} slov."
"Please enter between {0} and {1} words.","Zadejte prosím {0} až {1} slov."
"Letters or punctuation only please","Pouze písmena nebo interpunkce prosím"
"Letters, numbers, spaces or underscores only please","Pouze písmena, číslice, mezery nebo podtržítka prosím"
"Letters only please","Pouze písmena prosím"
"No white space please","Bez mezer prosím"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","PSČ musí být v rozsahu od 902xx-xxxx do 905-xx-xxxx"
"A positive or negative non-decimal number please","Celé kladné nebo záporné číslo prosím"
"The specified vehicle identification number (VIN) is invalid.","Zadané identifikační číslo vozidla (VIN) je neplatné."
